subj range stair stan yhat se
2 high stair_76.5_high_3 76.5 67.9375 1.85750769081277
2 high stair_76.5_high_4 76.5 65.5 1.38873014965883
2 high stair_79.0_high_1 79 67.0625 1.02207771580387
2 high stair_79.0_high_2 79 70.3125 1.13389341902768
2 high stair_79.0_high_3 79 70.75 0.694365074829414
2 high stair_79.0_high_4 79 66.3125 0.940174755792013
2 high stair_81.5_high_1 81.5 67.75 1.4575465564728
2 high stair_81.5_high_2 81.5 67.0625 1.35949045076245
2 high stair_81.5_high_3 81.5 65.6875 0.736485379546474
2 high stair_81.5_high_4 81.5 65.3125 0.4858488521576
2 high stair_84.0_high_1 84 65.75 1.90027606077192
2 high stair_84.0_high_2 84 66.75 1.32771789979219
2 high stair_84.0_high_3 84 66.4375 0.394578210606863
2 high stair_84.0_high_4 84 67.6875 1.02207771580387
3 low stair_59.0_low_1 59 37.5 0.971697704315199
3 low stair_59.0_low_2 59 37.9285714285714 1.0511473323401
3 low stair_59.0_low_3 59 37.25 1.35764206044366
3 low stair_59.0_low_4 59 37.5 0.979419926720476
3 low stair_61.5_low_1 61.5 45.375 1.32203171563426
3 low stair_61.5_low_2 61.5 43.5 1.0511473323401
3 low stair_61.5_low_3 61.5 42.1 1.3125
3 low stair_61.5_low_4 61.5 42.375 0.929429548548079
3 low stair_64.0_low_1 64 44.9375 1.0978875820671
3 low stair_64.0_low_2 64 45.1875 0.789156421213727
3 low stair_64.0_low_3 64 43.8125 1.22747563257746
3 low stair_64.0_low_4 64 42.875 1.01961783807184
3 low stair_66.5_low_1 66.5 45.25 1.14929131890669
3 low stair_66.5_low_2 66.5 44.75 1.96396101212393
3 low stair_66.5_low_3 66.5 45.3125 1.38873014965883
3 low stair_66.5_low_4 66.5 46.25 1.38147824552439
3 low stair_69.0_low_1 69 46.8125 1.01220233719774
3 low stair_69.0_low_2 69 46.5 0.981980506061966
3 low stair_69.0_low_3 69 46.3125 0.981980506061966
3 low stair_69.0_low_4 69 46.5625 1.20058579451866
3 medium stair_66.5_medium_1 66.5 56.5625 0.633865691046387
3 medium stair_66.5_medium_2 66.5 57.25 1.29710357280035
3 medium stair_66.5_medium_3 66.5 57.6875 1.14929131890669
3 medium stair_66.5_medium_4 66.5 55.0625 0.99972094320651
3 medium stair_69.0_medium_1 69 56.4375 1.38147824552439
3 medium stair_69.0_medium_2 69 56.875 1.05828997848956
3 medium stair_69.0_medium_3 69 56.3125 1.07710549622588
3 medium stair_69.0_medium_4 69 56.5 0.979419926720476
3 medium stair_71.5_medium_1 71.5 57.1875 0.940174755792013
3 medium stair_71.5_medium_2 71.5 56.5625 0.661015857817129
3 medium stair_71.5_medium_3 71.5 56.875 0.661015857817129
3 medium stair_71.5_medium_4 71.5 57.0625 1.19429447194328
3 medium stair_74.0_medium_1 74 56 0.789156421213727
3 medium stair_74.0_medium_2 74 57.3125 0.736485379546474
3 medium stair_74.0_medium_3 74 57.875 1.20267558860591
3 medium stair_74.0_medium_4 74 56.6875 1.95883985344095
3 medium stair_76.5_medium_1 76.5 58.0625 0.971697704315199
3 medium stair_76.5_medium_2 76.5 58.6875 1.01961783807184
3 medium stair_76.5_medium_3 76.5 58.9375 0.679745225381224
3 medium stair_76.5_medium_4 76.5 58.8125 1.78019235517642
3 high stair_74.0_high_1 74 63.75 0.847462072476234
3 high stair_74.0_high_2 74 65.4375 1.0978875820671
3 high stair_74.0_high_3 74 62.9375 1.02207771580387
3 high stair_74.0_high_4 74 64.3125 1.09559792872594
3 high stair_76.5_high_1 76.5 65 1.01220233719774
3 high stair_76.5_high_2 76.5 64.4375 0.679745225381224
3 high stair_76.5_high_3 76.5 63.9375 0.617815853285935
3 high stair_76.5_high_4 76.5 64.4375 0.746644278469626
3 high stair_79.0_high_1 79 65.1875 0.940174755792013
3 high stair_79.0_high_2 79 65.9375 1.74744711753215
3 high stair_79.0_high_3 79 64.625 1.32960789064188
3 high stair_79.0_high_4 79 64.125 0.597147235971642
3 high stair_81.5_high_1 81.5 67.1875 1.20058579451866
3 high stair_81.5_high_2 81.5 67.25 1.20267558860591
3 high stair_81.5_high_3 81.5 69.5 0.490990253030983
3 high stair_81.5_high_4 81.5 69 1.01961783807184
3 high stair_84.0_high_1 84 70.125 0.95868911615214
3 high stair_84.0_high_2 84 67.8125 1.07710549622588
3 high stair_84.0_high_3 84 70.625 0.885145266528124
3 high stair_84.0_high_4 84 69.5 1.13167661647916
4 low stair_59.0_low_1 59 22.75 0.633865691046387
4 low stair_59.0_low_2 59 28.5625 1.24977676578088
4 low stair_59.0_low_3 59 25.3125 0.850420064270761
4 low stair_59.0_low_4 59 28.625 0.442572633264062
4 low stair_61.5_low_1 61.5 26.75 1.64683137310065
4 low stair_61.5_low_2 61.5 31 0.566946709513841
4 low stair_61.5_low_3 61.5 28.5625 1.0978875820671
4 low stair_61.5_low_4 61.5 30.125 0.870844725375474
4 low stair_64.0_low_1 64 34.25 0.870844725375474
4 low stair_64.0_low_2 64 31.4375 1.11378336890849
4 low stair_64.0_low_3 64 32.1875 0.442572633264062
4 low stair_64.0_low_4 64 31.875 1.466135591079
4 low stair_66.5_low_1 66.5 36.625 1.29128258498507
4 low stair_66.5_low_2 66.5 31.625 0.798645616921906
4 low stair_66.5_low_3 66.5 35.375 1.03913382542522
4 low stair_66.5_low_4 66.5 32.75 1.38873014965883
4 low stair_69.0_low_1 69 35.375 1.53802255928096
4 low stair_69.0_low_2 69 36.25 0.99972094320651
4 low stair_69.0_low_3 69 38.25 0.690739122762194
4 low stair_69.0_low_4 69 35.5625 1.67105078148024
4 medium stair_66.5_medium_1 66.5 51.125 0.633865691046387
4 medium stair_66.5_medium_2 66.5 47.6875 0.629891572302045
4 medium stair_66.5_medium_3 66.5 49.1875 0.981980506061966
4 medium stair_66.5_medium_4 66.5 45.0625 1.05828997848956
4 medium stair_69.0_medium_1 69 48.9375 1.125
4 medium stair_69.0_medium_2 69 46.75 0.661015857817129
4 medium stair_69.0_medium_3 69 51.75 1.28152218363275
4 medium stair_69.0_medium_4 69 47.5 0.746644278469626
4 medium stair_71.5_medium_1 71.5 48.8125 1.11378336890849
4 medium stair_71.5_medium_2 71.5 47.75 1.03913382542522
4 medium stair_71.5_medium_3 71.5 50.125 0.773082304803311
4 medium stair_71.5_medium_4 71.5 50.375 0.798645616921906
4 medium stair_74.0_medium_1 74 52.8125 1.16664009323478
4 medium stair_74.0_medium_2 74 50.6875 0.75
4 medium stair_74.0_medium_3 74 52.5625 1.20267558860591
4 medium stair_74.0_medium_4 74 53.5625 0.490990253030983
4 medium stair_76.5_medium_1 76.5 52.875 2.00445931434318
4 medium stair_76.5_medium_2 76.5 54.0625 0.893615749157801
4 medium stair_76.5_medium_3 76.5 56.5 1.01220233719774
4 medium stair_76.5_medium_4 76.5 53.5 0.847462072476234
4 high stair_74.0_high_1 74 57.0625 0.896421457000795
4 high stair_74.0_high_2 74 58.75 1.79144170791492
4 high stair_74.0_high_3 74 59 1.29710357280035
4 high stair_74.0_high_4 74 58.125 1.0511473323401
4 high stair_76.5_high_1 76.5 56.9375 0.629891572302045
4 high stair_76.5_high_2 76.5 61.1875 1.05828997848956
4 high stair_76.5_high_3 76.5 59.5 1.08870007676258
4 high stair_76.5_high_4 76.5 58.625 0.915820767711362
4 high stair_79.0_high_1 79 61.6875 1.26574900186186
4 high stair_79.0_high_2 79 61.8125 0.940174755792013
4 high stair_79.0_high_3 79 61.5 0.773082304803311
4 high stair_79.0_high_4 79 63.625 1.09559792872594
4 high stair_81.5_high_1 81.5 63.8125 1.13167661647916
4 high stair_81.5_high_2 81.5 62.875 0.896421457000795
4 high stair_81.5_high_3 81.5 62.25 0.798645616921906
4 high stair_81.5_high_4 81.5 64.375 0.661015857817129
4 high stair_84.0_high_1 84 66.25 1.43847016951045
4 high stair_84.0_high_2 84 65.8125 1.24977676578088
4 high stair_84.0_high_3 84 63.3125 1.02207771580387
4 high stair_84.0_high_4 84 65 0.75
5 low stair_59.0_low_1 59 21.875 1.35949045076245
5 low stair_59.0_low_2 59 20.875 1.60200070224704
5 low stair_59.0_low_3 59 22 1.03913382542522
5 low stair_59.0_low_4 59 19.4375 0.870844725375474
5 low stair_61.5_low_1 61.5 31.5625 0.940174755792013
5 low stair_61.5_low_2 61.5 30.5625 0.629891572302045
5 low stair_61.5_low_3 61.5 32 1.14929131890669
5 low stair_61.5_low_4 61.5 32.4375 0.979419926720476
5 low stair_64.0_low_1 64 37.1875 1.51167332780598
5 low stair_64.0_low_2 64 37.25 1.70084012854152
5 low stair_64.0_low_3 64 38.0625 1.0511473323401
5 low stair_64.0_low_4 64 35.1875 0.75
5 low stair_66.5_low_1 66.5 42 0.971697704315199
5 low stair_66.5_low_2 66.5 44.9375 0.940174755792013
5 low stair_66.5_low_3 66.5 46.5625 0.929429548548079
5 low stair_66.5_low_4 66.5 47.625 1.32771789979219
5 low stair_69.0_low_1 69 50.625 0.773082304803311
5 low stair_69.0_low_2 69 50.25 1.22747563257746
5 low stair_69.0_low_3 69 48.375 0.971697704315199
5 low stair_69.0_low_4 69 46.75 1.34276334208867
5 medium stair_66.5_medium_1 66.5 48.8125 0.736485379546474
5 medium stair_66.5_medium_2 66.5 49.625 2.14017689522552
5 medium stair_66.5_medium_3 66.5 46.4375 0.99972094320651
5 medium stair_66.5_medium_4 66.5 53.6875 0.661015857817129
5 medium stair_69.0_medium_1 69 52.875 0.690739122762194
5 medium stair_69.0_medium_2 69 55.125 0.28347335475692
5 medium stair_69.0_medium_3 69 54.25 1.05828997848956
5 medium stair_69.0_medium_4 69 54.5625 1.0978875820671
5 medium stair_71.5_medium_1 71.5 55.125 0.679745225381224
5 medium stair_71.5_medium_2 71.5 59.3125 1.65291949505802
5 medium stair_71.5_medium_3 71.5 57.5 1.29903810567666
5 medium stair_71.5_medium_4 71.5 57.3125 1.51167332780598
5 medium stair_74.0_medium_1 74 59.125 0.981980506061966
5 medium stair_74.0_medium_2 74 60.1875 0.633865691046387
5 medium stair_74.0_medium_3 74 61.8125 1.69492414495247
5 medium stair_74.0_medium_4 74 60.875 0.597147235971642
5 medium stair_76.5_medium_1 76.5 66.4375 1.7574776466776
5 medium stair_76.5_medium_2 76.5 65.5 1.06066017177982
5 medium stair_76.5_medium_3 76.5 65.5625 0.971697704315199
5 medium stair_76.5_medium_4 76.5 64.25 0.99972094320651
5 high stair_74.0_high_1 74 65.875 0.940174755792013
5 high stair_74.0_high_2 74 66.75 1.72430110065333
5 high stair_74.0_high_3 74 67 0.789156421213727
5 high stair_74.0_high_4 74 69.0625 0.694365074829414
5 high stair_76.5_high_1 76.5 69.875 1.43847016951045
