# {'Alias': '05', 'Session': '03', 'tstamp': '20230816_1202', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
05 training high 83.0 131 79 low 1 j 2.39
05 training high 75.0 74 80 high 1 j 1.37
05 training high 77.67 89 64 high 1 f 1.54
05 training high 80.33 107 68 low 1 f 1.66
05 training high 77.67 89 72 high 2 space 1.55
05 training high 75.0 74 72 high 2 space 2.38
05 training high 83.0 131 71 low 2 f 1.53
05 training high 80.33 107 76 low 2 space 1.79
05 training high 75.0 74 64 high 3 f 1.48
05 training high 83.0 131 77 low 3 space 1.76
05 training high 80.33 107 84 low 3 j 1.55
05 training high 77.67 89 80 high 3 j 4.39
05 training high 80.33 107 78 low 4 space 2.38
05 training high 77.67 89 74 high 4 space 2.38
05 training high 83.0 131 83 low 4 f 1.47
05 training high 75.0 74 70 high 4 f 2.38
05 training high 77.67 89 68 high 5 f 1.66
05 training high 80.33 107 72 low 5 f 1.18
05 training high 75.0 74 76 high 5 f 2.38
05 training high 83.0 131 89 low 5 j 1.62
05 training high 83.0 131 85 low 6 j 1.35
05 training high 75.0 74 82 high 6 j 1.26
05 training high 77.67 89 72 high 6 f 1.27
05 training high 80.33 107 76 low 6 space 2.38
05 training high 80.33 107 80 low 7 space 1.61
05 training high 77.67 89 76 high 7 j 2.38
05 training high 75.0 74 78 high 7 f 3.82
05 training high 83.0 131 81 low 7 j 3.8
05 training high 83.0 131 77 low 8 space 2.38
05 training high 77.67 89 72 high 8 space 3.19
05 training high 75.0 74 82 high 8 j 1.53
05 training high 80.33 107 84 low 8 j 2.38
05 training high 80.33 107 80 low 9 space 2.37
05 training high 75.0 74 78 high 9 j 5.02
05 training high 77.67 89 68 high 9 f 1.38
05 training high 83.0 131 73 low 9 space 2.38
05 training high 77.67 89 72 high 10 f 4.4
05 training high 80.33 107 76 low 10 space 6.4
05 training high 83.0 131 69 low 10 f 2.41
05 training high 75.0 74 74 high 10 j 3.71
05 training high 75.0 74 70 high 11 j 4.39
05 training high 77.67 89 76 high 11 j 1.36
05 training high 83.0 131 73 low 11 f 1.27
05 training high 80.33 107 72 low 11 j 1.82
05 training high 83.0 131 77 low 12 f 2.38
05 training high 77.67 89 72 high 12 space 3.51
05 training high 75.0 74 66 high 12 f 2.38
05 training high 80.33 107 68 low 12 f 2.37
05 training high 77.67 89 68 high 13 f 1.52
05 training high 83.0 131 81 low 13 space 1.71
