# {'Alias': '01', 'Session': '02', 'tstamp': '20230829_1110', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
01 training high 75.0 74 79 high 1 j 8.42
01 training high 80.33 107 75 low 1 j 1.27
01 training high 77.67 89 54 low 1 f 1.64
01 training high 83.0 131 60 high 1 f 1.36
01 training high 77.67 89 62 low 2 j 1.48
01 training high 83.0 131 68 high 2 f 1.65
01 training high 75.0 74 71 high 2 j 1.28
01 training high 80.33 107 67 low 2 j 1.33
01 training high 77.67 89 56 low 3 f 4.39
01 training high 75.0 74 63 high 3 j 2.38
01 training high 83.0 131 76 high 3 j 5.01
01 training high 80.33 107 59 low 3 j 4.39
01 training high 83.0 131 70 high 4 j 1.36
01 training high 75.0 74 55 high 4 f 1.58
01 training high 77.67 89 60 low 4 j 4.96
01 training high 80.33 107 51 low 4 j 2.38
01 training high 83.0 131 64 high 5 j 1.57
01 training high 80.33 107 43 low 5 f 1.13
01 training high 77.67 89 56 low 5 j 2.38
01 training high 75.0 74 61 high 5 j 1.59
01 training high 77.67 89 52 low 6 f 4.39
01 training high 83.0 131 58 high 6 f 2.38
01 training high 80.33 107 49 low 6 f 6.41
01 training high 75.0 74 57 high 6 j 4.4
01 training high 80.33 107 55 low 7 j 2.38
01 training high 83.0 131 62 high 7 j 4.39
01 training high 77.67 89 56 low 7 j 2.38
01 training high 75.0 74 53 high 7 j 2.39
01 training high 80.33 107 51 low 8 f 6.41
01 training high 77.67 89 52 low 8 f 2.38
01 training high 75.0 74 49 high 8 f 5.26
01 training high 83.0 131 58 high 8 j 1.45
01 training high 75.0 74 53 high 9 j 1.37
01 training high 83.0 131 54 high 9 f 1.14
01 training high 80.33 107 55 low 9 f 1.38
01 training high 80.33 107 59 low 10 j 2.98
01 training high 83.0 131 58 high 10 f 3.2
01 training high 75.0 74 49 high 10 j 1.37
01 training high 83.0 131 62 high 11 f 1.55
01 training high 75.0 74 45 high 11 f 1.51
01 training high 80.33 107 55 low 11 f 3.48
01 training high 80.33 107 59 low 12 f 6.41
01 training high 83.0 131 66 high 12 j 1.57
01 training high 75.0 74 49 high 12 f 1.34
01 training high 80.33 107 63 low 13 j 1.39
01 training high 75.0 74 53 high 13 f 1.37
01 training high 83.0 131 62 high 13 f 1.27
01 training high 75.0 74 57 high 14 j 1.23
01 stair_76.5_high_3 high 76.5 82 65 low 1 f 2.38
01 stair_81.5_high_4 high 81.5 117 58 low 1 f 1.18
01 stair_74.0_high_3 high 74.0 70 53 low 1 f 2.39
01 stair_84.0_high_2 high 84.0 149 73 low 1 j 1.38
01 stair_79.0_high_2 high 79.0 98 68 low 1 j 1.55
