# {'Alias': '04', 'Session': '02', 'tstamp': '20230815_0948', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
04 training high 83.0 131 64 high 1 f 1.66
04 training high 75.0 74 79 low 1 j 1.58
04 training high 80.33 107 73 high 1 f 1.69
04 training high 77.67 89 64 low 1 space 1.55
04 training high 83.0 131 72 high 2 j 1.69
04 training high 80.33 107 81 high 2 j 3.15
04 training high 75.0 74 71 low 2 f 1.73
04 training high 77.67 89 56 low 2 f 3.26
04 training high 80.33 107 75 high 3 j 3.34
04 training high 77.67 89 62 low 3 f 2.38
04 training high 75.0 74 77 low 3 j 2.38
04 training high 83.0 131 66 high 3 f 1.33
04 training high 83.0 131 70 high 4 space 14.47
04 training high 75.0 74 73 low 4 f 3.71
04 training high 77.67 89 68 low 4 f 2.38
04 training high 80.33 107 69 high 4 f 2.38
04 training high 83.0 131 74 high 5 j 1.47
04 training high 80.33 107 73 high 5 j 1.51
04 training high 75.0 74 77 low 5 j 1.19
04 training high 77.67 89 74 low 5 j 1.13
04 training high 75.0 74 73 low 6 f 1.33
04 training high 80.33 107 69 high 6 j 2.38
04 training high 83.0 131 70 high 6 j 2.38
04 training high 77.67 89 70 low 6 j 4.39
04 training high 83.0 131 66 high 7 f 1.59
04 training high 75.0 74 77 low 7 j 2.38
04 training high 77.67 89 66 low 7 f 1.33
04 training high 80.33 107 65 high 7 f 1.19
04 training high 80.33 107 69 high 8 j 1.81
04 training high 77.67 89 70 low 8 j 1.66
04 training high 83.0 131 70 high 8 f 1.27
04 training high 77.67 89 66 low 9 f 1.2
04 training high 80.33 107 65 high 9 f 1.66
04 training high 83.0 131 74 high 9 j 1.2
04 training high 77.67 89 70 low 10 j 1.23
04 training high 83.0 131 70 high 10 j 6.98
04 training high 83.0 131 66 high 11 j 1.12
04 training high 83.0 131 62 high 12 f 1.45
04 stair_74.0_high_2 high 74.0 70 73 high 1 j 1.24
04 stair_84.0_high_4 high 84.0 149 68 low 1 f 1.27
04 stair_74.0_high_1 high 74.0 70 52 low 1 f 3.04
04 stair_74.0_high_3 high 74.0 70 71 high 1 j 1.37
04 stair_76.5_high_4 high 76.5 82 56 low 1 f 1.38
04 stair_84.0_high_2 high 84.0 149 60 low 1 j 1.65
04 stair_79.0_high_1 high 79.0 98 51 low 1 f 1.42
04 stair_79.0_high_4 high 79.0 98 55 low 1 f 1.27
04 stair_84.0_high_1 high 84.0 149 55 low 1 f 1.48
04 stair_76.5_high_3 high 76.5 82 67 high 1 j 1.8
04 stair_79.0_high_2 high 79.0 98 77 high 1 j 1.17
04 stair_79.0_high_3 high 79.0 98 72 low 1 j 1.12
04 stair_81.5_high_2 high 81.5 117 61 low 1 f 1.59
04 stair_74.0_high_4 high 74.0 70 78 high 1 j 1.21
04 stair_76.5_high_1 high 76.5 82 62 low 1 f 1.68
04 stair_81.5_high_1 high 81.5 117 79 high 1 j 1.12
04 stair_84.0_high_3 high 84.0 149 62 low 1 f 1.22
04 stair_76.5_high_2 high 76.5 82 73 high 1 j 8.98
04 stair_81.5_high_4 high 81.5 117 76 low 1 space 1.81
04 stair_81.5_high_3 high 81.5 117 63 low 1 f 1.57
04 stair_79.0_high_4 high 79.0 98 61 low 2 f 1.71
04 stair_74.0_high_4 high 74.0 70 72 high 2 j 1.18
04 stair_74.0_high_3 high 74.0 70 65 high 2 f 2.38
04 stair_74.0_high_1 high 74.0 70 58 low 2 f 1.46
04 stair_81.5_high_1 high 81.5 117 73 high 2 j 15.08
04 stair_81.5_high_2 high 81.5 117 67 low 2 f 1.3
04 stair_81.5_high_4 high 81.5 117 70 low 2 j 1.62
04 stair_76.5_high_1 high 76.5 82 68 low 2 f 1.59
04 stair_84.0_high_1 high 84.0 149 61 low 2 f 1.34
04 stair_76.5_high_3 high 76.5 82 61 high 2 f 1.49
04 stair_79.0_high_1 high 79.0 98 57 low 2 f 2.38
04 stair_84.0_high_4 high 84.0 149 74 low 2 j 1.68
04 stair_84.0_high_3 high 84.0 149 68 low 2 f 1.62
04 stair_79.0_high_3 high 79.0 98 66 low 2 f 1.22
04 stair_74.0_high_2 high 74.0 70 67 high 2 j 1.48
04 stair_76.5_high_4 high 76.5 82 62 low 2 j 1.15
04 stair_79.0_high_2 high 79.0 98 71 high 2 j 1.35
04 stair_76.5_high_2 high 76.5 82 67 high 2 j 1.63
04 stair_84.0_high_2 high 84.0 149 54 low 2 f 1.4
04 stair_81.5_high_3 high 81.5 117 69 low 2 j 1.76
04 stair_84.0_high_1 high 84.0 149 67 low 3 j 1.32
04 stair_84.0_high_4 high 84.0 149 71 low 3 j 1.11
04 stair_76.5_high_3 high 76.5 82 64 high 3 f 1.23
04 stair_79.0_high_3 high 79.0 98 69 low 3 j 1.14
04 stair_79.0_high_1 high 79.0 98 63 low 3 f 1.27
04 stair_76.5_high_1 high 76.5 82 74 low 3 j 1.14
04 stair_81.5_high_1 high 81.5 117 67 high 3 j 1.76
04 stair_74.0_high_3 high 74.0 70 68 high 3 j 1.39
04 stair_81.5_high_2 high 81.5 117 73 low 3 j 11.0
04 stair_79.0_high_2 high 79.0 98 65 high 3 f 1.65
04 stair_74.0_high_1 high 74.0 70 64 low 3 f 1.37
04 stair_84.0_high_3 high 84.0 149 74 low 3 j 1.36
04 stair_84.0_high_2 high 84.0 149 57 low 3 f 1.44
04 stair_76.5_high_4 high 76.5 82 59 low 3 f 1.38
04 stair_81.5_high_3 high 81.5 117 66 low 3 j 1.25
04 stair_74.0_high_2 high 74.0 70 61 high 3 f 1.3
04 stair_74.0_high_4 high 74.0 70 66 high 3 f 1.13
04 stair_79.0_high_4 high 79.0 98 67 low 3 j 1.43
04 stair_76.5_high_2 high 76.5 82 61 high 3 j 5.21
04 stair_81.5_high_4 high 81.5 117 64 low 3 j 1.48
04 stair_74.0_high_4 high 74.0 70 69 high 4 j 7.09
04 stair_74.0_high_2 high 74.0 70 64 high 4 space 6.41
04 stair_74.0_high_1 high 74.0 70 70 low 4 j 2.38
04 stair_84.0_high_2 high 84.0 149 60 low 4 f 1.22
04 stair_74.0_high_3 high 74.0 70 66.5 high 4 j 1.48
04 stair_76.5_high_3 high 76.5 82 67 high 4 space 1.66
04 stair_81.5_high_3 high 81.5 117 63 low 4 f 3.17
04 stair_81.5_high_2 high 81.5 117 70 low 4 space 2.38
04 stair_81.5_high_4 high 81.5 117 58 low 4 f 1.7
04 stair_79.0_high_3 high 79.0 98 67.5 low 4 space 1.62
04 stair_79.0_high_1 high 79.0 98 69 low 4 space 1.32
04 stair_84.0_high_1 high 84.0 149 64 low 4 f 1.45
04 stair_76.5_high_2 high 76.5 82 55 high 4 f 1.46
04 stair_79.0_high_4 high 79.0 98 64 low 4 f 1.51
04 stair_84.0_high_3 high 84.0 149 71 low 4 space 1.7
04 stair_76.5_high_1 high 76.5 82 71 low 4 space 1.6
04 stair_76.5_high_4 high 76.5 82 60.5 low 4 f 1.71
04 stair_79.0_high_2 high 79.0 98 68 high 4 j 1.38
04 stair_84.0_high_4 high 84.0 149 68 low 4 space 1.61
04 stair_81.5_high_1 high 81.5 117 61 high 4 j 1.66
04 stair_79.0_high_4 high 79.0 98 65.5 low 5 f 1.33
04 stair_76.5_high_3 high 76.5 82 70 high 5 j 1.52
04 stair_76.5_high_1 high 76.5 82 68 low 5 j 1.27
04 stair_79.0_high_1 high 79.0 98 75 low 5 j 1.35
04 stair_84.0_high_1 high 84.0 149 65.5 low 5 f 1.54
04 stair_81.5_high_1 high 81.5 117 55 high 5 f 1.31
04 stair_79.0_high_3 high 79.0 98 66.0 low 5 space 1.75
04 stair_76.5_high_4 high 76.5 82 62.0 low 5 f 1.41
04 stair_81.5_high_3 high 81.5 117 64.5 low 5 f 2.38
04 stair_74.0_high_1 high 74.0 70 67 low 5 j 1.76
04 stair_74.0_high_4 high 74.0 70 67.5 high 5 j 2.38
04 stair_81.5_high_2 high 81.5 117 67 low 5 space 3.4
04 stair_74.0_high_3 high 74.0 70 65.0 high 5 space 2.38
04 stair_74.0_high_2 high 74.0 70 67 high 5 j 1.76
04 stair_84.0_high_2 high 84.0 149 63 low 5 f 1.35
04 stair_84.0_high_3 high 84.0 149 68 low 5 space 2.38
04 stair_76.5_high_2 high 76.5 82 58 high 5 space 2.38
04 stair_81.5_high_4 high 81.5 117 61 low 5 f 2.38
04 stair_84.0_high_4 high 84.0 149 65 low 5 f 3.2
04 stair_79.0_high_2 high 79.0 98 66.5 high 5 f 1.34
04 stair_81.5_high_1 high 81.5 117 58 high 6 space 3.24
04 stair_74.0_high_4 high 74.0 70 66.0 high 6 j 3.76
04 stair_76.5_high_2 high 76.5 82 61 high 6 j 2.38
04 stair_76.5_high_3 high 76.5 82 68.5 high 6 j 1.58
04 stair_84.0_high_2 high 84.0 149 66 low 6 space 2.38
04 stair_79.0_high_1 high 79.0 98 72 low 6 j 1.45
04 stair_81.5_high_3 high 81.5 117 66.0 low 6 space 1.57
04 stair_74.0_high_2 high 74.0 70 65.5 high 6 j 1.54
04 stair_81.5_high_2 high 81.5 117 64 low 6 j 1.27
04 stair_79.0_high_3 high 79.0 98 64.5 low 6 j 1.13
04 stair_84.0_high_4 high 84.0 149 66.5 low 6 j 1.23
04 stair_84.0_high_1 high 84.0 149 67.0 low 6 space 2.38
04 stair_76.5_high_4 high 76.5 82 63.5 low 6 f 2.38
04 stair_79.0_high_4 high 79.0 98 67.0 low 6 space 9.48
04 stair_84.0_high_3 high 84.0 149 65 low 6 f 1.67
04 stair_81.5_high_4 high 81.5 117 64 low 6 f 1.14
04 stair_74.0_high_3 high 74.0 70 63.5 high 6 space 1.21
04 stair_76.5_high_1 high 76.5 82 65 low 6 space 7.0
04 stair_74.0_high_1 high 74.0 70 64 low 6 space 4.98
04 stair_79.0_high_2 high 79.0 98 68.0 high 6 space 1.4
04 stair_84.0_high_1 high 84.0 149 68.5 low 7 j 7.01
04 stair_84.0_high_4 high 84.0 149 65.0 low 7 f 1.63
04 stair_84.0_high_2 high 84.0 149 69 low 7 j 1.59
04 stair_79.0_high_2 high 79.0 98 69.5 high 7 space 1.3
04 stair_74.0_high_4 high 74.0 70 64.5 high 7 j 1.7
04 stair_76.5_high_3 high 76.5 82 67.0 high 7 space 13.63
04 stair_74.0_high_3 high 74.0 70 62.0 high 7 f 2.38
04 stair_76.5_high_2 high 76.5 82 59.5 high 7 f 1.26
04 stair_81.5_high_3 high 81.5 117 67.5 low 7 space 1.57
04 stair_74.0_high_2 high 74.0 70 64.0 high 7 space 2.38
04 stair_81.5_high_1 high 81.5 117 61 high 7 f 15.29
04 stair_74.0_high_1 high 74.0 70 61 low 7 j 3.21
04 stair_76.5_high_4 high 76.5 82 65.0 low 7 j 3.1
04 stair_76.5_high_1 high 76.5 82 62 low 7 j 1.47
04 stair_81.5_high_2 high 81.5 117 61 low 7 f 1.26
04 stair_81.5_high_4 high 81.5 117 67 low 7 space 1.63
04 stair_79.0_high_1 high 79.0 98 69 low 7 space 1.39
04 stair_79.0_high_4 high 79.0 98 68.5 low 7 space 1.32
04 stair_79.0_high_3 high 79.0 98 63.0 low 7 f 1.54
04 stair_84.0_high_3 high 84.0 149 66.5 low 7 j 1.5
04 stair_81.5_high_4 high 81.5 117 70 low 8 j 1.21
04 stair_84.0_high_3 high 84.0 149 65.0 low 8 space 2.38
04 stair_81.5_high_1 high 81.5 117 64 high 8 space 2.38
04 stair_74.0_high_1 high 74.0 70 58 low 8 space 2.38
04 stair_76.5_high_1 high 76.5 82 59 low 8 space 2.38
04 stair_81.5_high_2 high 81.5 117 62.5 low 8 space 1.66
04 stair_74.0_high_3 high 74.0 70 63.5 high 8 space 1.46
04 stair_84.0_high_4 high 84.0 149 66.5 low 8 f 1.51
04 stair_79.0_high_3 high 79.0 98 64.5 low 8 space 1.42
04 stair_84.0_high_1 high 84.0 149 67.0 low 8 space 1.19
04 stair_76.5_high_2 high 76.5 82 61.0 high 8 space 1.78
04 stair_81.5_high_3 high 81.5 117 69.0 low 8 space 1.22
04 stair_79.0_high_2 high 79.0 98 71.0 high 8 j 11.0
04 stair_84.0_high_2 high 84.0 149 67.5 low 8 j 1.13
04 stair_74.0_high_4 high 74.0 70 63.0 high 8 space 2.39
04 stair_79.0_high_1 high 79.0 98 66 low 8 space 1.31
04 stair_76.5_high_4 high 76.5 82 63.5 low 8 j 1.23
04 stair_74.0_high_2 high 74.0 70 62.5 high 8 f 1.25
04 stair_76.5_high_3 high 76.5 82 65.5 high 8 j 2.38
04 stair_79.0_high_4 high 79.0 98 70.0 low 8 j 1.32
04 stair_79.0_high_1 high 79.0 98 63 low 9 f 1.41
04 stair_84.0_high_4 high 84.0 149 68.0 low 9 j 1.18
04 stair_74.0_high_1 high 74.0 70 55 low 9 space 1.47
04 stair_76.5_high_3 high 76.5 82 64.0 high 9 space 1.69
04 stair_79.0_high_2 high 79.0 98 69.5 high 9 j 1.19
04 stair_76.5_high_4 high 76.5 82 62.0 low 9 f 1.56
04 stair_76.5_high_2 high 76.5 82 62.5 high 9 f 1.36
04 stair_84.0_high_3 high 84.0 149 63.5 low 9 space 1.63
04 stair_81.5_high_1 high 81.5 117 67 high 9 j 1.15
04 stair_81.5_high_4 high 81.5 117 68.5 low 9 j 1.15
04 stair_74.0_high_3 high 74.0 70 65.0 high 9 f 1.16
04 stair_79.0_high_4 high 79.0 98 68.5 low 9 j 1.22
04 stair_74.0_high_2 high 74.0 70 64.0 high 9 j 5.18
04 stair_84.0_high_1 high 84.0 149 65.5 low 9 f 1.52
04 stair_74.0_high_4 high 74.0 70 61.5 high 9 j 1.22
04 stair_79.0_high_3 high 79.0 98 66.0 low 9 j 7.32
04 stair_81.5_high_3 high 81.5 117 70.5 low 9 f 1.43
04 stair_84.0_high_2 high 84.0 149 66.0 low 9 f 1.73
04 stair_81.5_high_2 high 81.5 117 64.0 low 9 f 1.28
04 stair_76.5_high_1 high 76.5 82 56 low 9 space 1.57
04 stair_79.0_high_4 high 79.0 98 67.0 low 10 j 1.48
04 stair_84.0_high_3 high 84.0 149 62.0 low 10 f 1.23
04 stair_76.5_high_4 high 76.5 82 63.5 low 10 j 3.73
04 stair_76.5_high_3 high 76.5 82 62.5 high 10 space 1.26
04 stair_81.5_high_3 high 81.5 117 72.0 low 10 j 7.12
04 stair_84.0_high_2 high 84.0 149 67.5 low 10 f 5.0
04 stair_74.0_high_2 high 74.0 70 62.5 high 10 j 1.49
04 stair_81.5_high_4 high 81.5 117 67.0 low 10 space 1.32
04 stair_79.0_high_3 high 79.0 98 64.5 low 10 space 5.02
04 stair_84.0_high_1 high 84.0 149 67.0 low 10 f 1.5
04 stair_79.0_high_1 high 79.0 98 64.5 low 10 j 1.33
04 stair_76.5_high_1 high 76.5 82 53 low 10 f 5.17
04 stair_79.0_high_2 high 79.0 98 68.0 high 10 j 1.51
04 stair_84.0_high_4 high 84.0 149 66.5 low 10 j 1.18
04 stair_74.0_high_3 high 74.0 70 66.5 high 10 j 1.26
04 stair_81.5_high_1 high 81.5 117 65.5 high 10 j 1.14
04 stair_74.0_high_1 high 74.0 70 52 low 10 f 1.54
04 stair_74.0_high_4 high 74.0 70 60.0 high 10 space 3.82
04 stair_81.5_high_2 high 81.5 117 65.5 low 10 j 2.38
04 stair_76.5_high_2 high 76.5 82 64.0 high 10 j 2.38
04 stair_84.0_high_3 high 84.0 149 63.5 low 11 f 1.23
04 stair_74.0_high_4 high 74.0 70 58.5 high 11 space 6.41
04 stair_79.0_high_4 high 79.0 98 65.5 low 11 f 5.03
04 stair_74.0_high_3 high 74.0 70 65.0 high 11 space 1.3
04 stair_74.0_high_2 high 74.0 70 61.0 high 11 space 4.96
04 stair_81.5_high_4 high 81.5 117 65.5 low 11 f 3.03
04 stair_81.5_high_3 high 81.5 117 70.5 low 11 j 2.38
04 stair_76.5_high_2 high 76.5 82 62.5 high 11 j 12.46
04 stair_79.0_high_3 high 79.0 98 63.0 low 11 space 3.23
04 stair_76.5_high_4 high 76.5 82 62.0 low 11 space 3.7
04 stair_76.5_high_1 high 76.5 82 54.5 low 11 j 1.41
04 stair_81.5_high_2 high 81.5 117 64.0 low 11 f 5.05
04 stair_81.5_high_1 high 81.5 117 64.0 high 11 f 1.37
04 stair_84.0_high_4 high 84.0 149 65.0 low 11 f 15.03
04 stair_76.5_high_3 high 76.5 82 61.0 high 11 j 5.13
04 stair_74.0_high_1 high 74.0 70 53.5 low 11 f 1.76
04 stair_79.0_high_2 high 79.0 98 66.5 high 11 j 1.25
04 stair_84.0_high_2 high 84.0 149 69.0 low 11 j 1.2
04 stair_84.0_high_1 high 84.0 149 68.5 low 11 j 1.13
04 stair_79.0_high_1 high 79.0 98 63.0 low 11 f 3.14
04 stair_76.5_high_2 high 76.5 82 61.0 high 12 f 1.51
04 stair_84.0_high_1 high 84.0 149 67.0 low 12 j 9.03
04 stair_81.5_high_4 high 81.5 117 67.0 low 12 j 1.19
04 stair_76.5_high_3 high 76.5 82 59.5 high 12 space 3.56
04 stair_81.5_high_1 high 81.5 117 65.5 high 12 j 1.46
04 stair_84.0_high_3 high 84.0 149 65.0 low 12 j 1.6
04 stair_81.5_high_3 high 81.5 117 69.0 low 12 j 1.72
04 stair_81.5_high_2 high 81.5 117 65.5 low 12 j 1.53
04 stair_74.0_high_3 high 74.0 70 63.5 high 12 j 2.38
04 stair_84.0_high_2 high 84.0 149 67.5 low 12 j 1.81
04 stair_76.5_high_1 high 76.5 82 53.0 low 12 f 1.59
04 stair_74.0_high_4 high 74.0 70 57.0 high 12 f 1.25
04 stair_79.0_high_4 high 79.0 98 67.0 low 12 j 1.55
04 stair_76.5_high_4 high 76.5 82 60.5 low 12 space 8.43
04 stair_79.0_high_3 high 79.0 98 61.5 low 12 space 3.42
04 stair_74.0_high_1 high 74.0 70 55.0 low 12 j 1.75
04 stair_84.0_high_4 high 84.0 149 66.5 low 12 j 1.47
04 stair_79.0_high_2 high 79.0 98 65.0 high 12 j 1.14
04 stair_79.0_high_1 high 79.0 98 64.5 low 12 j 5.1
04 stair_74.0_high_2 high 74.0 70 59.5 high 12 j 1.16
04 stair_74.0_high_3 high 74.0 70 62.0 high 13 j 1.18
04 stair_79.0_high_2 high 79.0 98 63.5 high 13 j 1.17
04 stair_79.0_high_3 high 79.0 98 60.0 low 13 f 2.38
04 stair_74.0_high_4 high 74.0 70 58.5 high 13 space 2.38
04 stair_84.0_high_4 high 84.0 149 65.0 low 13 j 1.45
04 stair_76.5_high_3 high 76.5 82 58.0 high 13 f 1.38
04 stair_74.0_high_2 high 74.0 70 58.0 high 13 f 1.26
04 stair_84.0_high_2 high 84.0 149 66.0 low 13 j 1.14
04 stair_84.0_high_3 high 84.0 149 63.5 low 13 j 5.11
04 stair_81.5_high_2 high 81.5 117 64.0 low 13 j 1.26
04 stair_76.5_high_4 high 76.5 82 59.0 low 13 j 3.06
04 stair_79.0_high_4 high 79.0 98 65.5 low 13 j 1.66
04 stair_84.0_high_1 high 84.0 149 65.5 low 13 f 1.27
04 stair_81.5_high_1 high 81.5 117 64.0 high 13 f 1.3
04 stair_81.5_high_4 high 81.5 117 65.5 low 13 f 1.73
04 stair_81.5_high_3 high 81.5 117 67.5 low 13 j 1.76
04 stair_76.5_high_2 high 76.5 82 62.5 high 13 space 1.78
04 stair_76.5_high_1 high 76.5 82 54.5 low 13 f 2.38
04 stair_74.0_high_1 high 74.0 70 53.5 low 13 space 1.34
04 stair_79.0_high_1 high 79.0 98 63.0 low 13 space 3.1
04 stair_74.0_high_4 high 74.0 70 60.0 high 14 space 2.38
04 stair_81.5_high_1 high 81.5 117 65.5 high 14 space 1.48
04 stair_81.5_high_4 high 81.5 117 67.0 low 14 space 2.38
04 stair_76.5_high_3 high 76.5 82 59.5 high 14 space 1.56
04 stair_76.5_high_4 high 76.5 82 57.5 low 14 space 3.26
04 stair_79.0_high_2 high 79.0 98 62.0 high 14 j 1.48
04 stair_81.5_high_3 high 81.5 117 66.0 low 14 j 1.4
04 stair_84.0_high_3 high 84.0 149 62.0 low 14 f 1.39
04 stair_74.0_high_2 high 74.0 70 59.5 high 14 j 2.38
04 stair_84.0_high_4 high 84.0 149 63.5 low 14 f 1.23
04 stair_76.5_high_2 high 76.5 82 64.0 high 14 space 3.18
04 stair_81.5_high_2 high 81.5 117 62.5 low 14 j 1.35
04 stair_76.5_high_1 high 76.5 82 56.0 low 14 j 1.15
04 stair_84.0_high_1 high 84.0 149 67.0 low 14 space 1.74
04 stair_74.0_high_3 high 74.0 70 60.5 high 14 j 2.38
04 stair_84.0_high_2 high 84.0 149 64.5 low 14 f 1.58
04 stair_79.0_high_1 high 79.0 98 61.5 low 14 f 1.18
04 stair_79.0_high_4 high 79.0 98 64.0 low 14 f 3.24
04 stair_74.0_high_1 high 74.0 70 52.0 low 14 space 3.7
04 stair_79.0_high_3 high 79.0 98 61.5 low 14 j 2.38
04 stair_81.5_high_4 high 81.5 117 68.5 low 15 j 1.71
04 stair_76.5_high_3 high 76.5 82 61.0 high 15 j 1.62
04 stair_84.0_high_3 high 84.0 149 63.5 low 15 j 1.22
04 stair_84.0_high_1 high 84.0 149 68.5 low 15 j 1.57
04 stair_79.0_high_3 high 79.0 98 60.0 low 15 space 9.39
04 stair_84.0_high_4 high 84.0 149 65.0 low 15 f 2.38
04 stair_81.5_high_3 high 81.5 117 64.5 low 15 j 2.38
04 stair_74.0_high_2 high 74.0 70 58.0 high 15 j 3.41
04 stair_79.0_high_4 high 79.0 98 65.5 low 15 space 1.81
04 stair_79.0_high_2 high 79.0 98 60.5 high 15 f 9.34
04 stair_81.5_high_1 high 81.5 117 67.0 high 15 j 1.75
04 stair_81.5_high_2 high 81.5 117 61.0 low 15 f 1.27
04 stair_74.0_high_1 high 74.0 70 50.5 low 15 f 1.62
04 stair_76.5_high_1 high 76.5 82 54.5 low 15 f 1.22
04 stair_74.0_high_3 high 74.0 70 59.0 high 15 f 1.22
04 stair_76.5_high_2 high 76.5 82 65.5 high 15 j 1.27
04 stair_74.0_high_4 high 74.0 70 61.5 high 15 j 1.43
04 stair_84.0_high_2 high 84.0 149 66.0 low 15 j 1.39
04 stair_76.5_high_4 high 76.5 82 56.0 low 15 f 1.56
04 stair_79.0_high_1 high 79.0 98 63.0 low 15 space 2.38
04 stair_84.0_high_4 high 84.0 149 66.5 low 16 j 1.16
04 stair_76.5_high_3 high 76.5 82 59.5 high 16 f 1.13
04 stair_84.0_high_2 high 84.0 149 64.5 low 16 f 2.38
04 stair_81.5_high_3 high 81.5 117 63.0 low 16 j 1.14
04 stair_74.0_high_4 high 74.0 70 60.0 high 16 j 5.02
04 stair_74.0_high_3 high 74.0 70 60.5 high 16 j 3.08
04 stair_84.0_high_3 high 84.0 149 62.0 low 16 f 7.69
04 stair_79.0_high_1 high 79.0 98 64.5 low 16 j 1.35
04 stair_76.5_high_4 high 76.5 82 57.5 low 16 f 3.14
04 stair_74.0_high_2 high 74.0 70 56.5 high 16 j 3.13
04 stair_79.0_high_3 high 79.0 98 58.5 low 16 j 1.51
04 stair_81.5_high_2 high 81.5 117 62.5 low 16 j 2.39
04 stair_76.5_high_2 high 76.5 82 64.0 high 16 j 3.07
04 stair_81.5_high_4 high 81.5 117 67.0 low 16 space 3.43
04 stair_74.0_high_1 high 74.0 70 52.0 low 16 f 3.14
04 stair_81.5_high_1 high 81.5 117 65.5 high 16 j 1.52
04 stair_76.5_high_1 high 76.5 82 56.0 low 16 f 1.22
04 stair_79.0_high_2 high 79.0 98 62.0 high 16 j 5.18
04 stair_79.0_high_4 high 79.0 98 67.0 low 16 j 3.02
04 stair_84.0_high_1 high 84.0 149 67.0 low 16 j 1.13
04 stair_79.0_high_4 high 79.0 98 65.5 low 17 j 1.17
04 stair_84.0_high_3 high 84.0 149 63.5 low 17 j 1.22
