# {'Alias': '04', 'Session': '01', 'tstamp': '20230814_1001', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
04 training medium 75.5 77 51 high 1 j 2.39
04 training medium 68.83 52 54 low 1 f 2.38
04 training medium 65.5 44 61 high 1 j 1.43
04 training medium 72.17 62 52 low 1 f 2.39
04 training medium 72.17 62 60 low 2 j 2.39
04 training medium 68.83 52 62 low 2 j 2.38
04 training medium 75.5 77 43 high 2 f 2.38
04 training medium 65.5 44 53 high 2 j 3.22
04 training medium 65.5 44 45 high 3 f 2.38
04 training medium 68.83 52 56 low 3 f 3.0
04 training medium 72.17 62 54 low 3 j 7.06
04 training medium 75.5 77 49 high 3 f 1.21
04 training medium 68.83 52 60 low 4 j 1.29
04 training medium 65.5 44 51 high 4 j 1.58
04 training medium 72.17 62 48 low 4 f 1.55
04 training medium 75.5 77 55 high 4 j 3.53
04 training medium 75.5 77 51 high 5 f 2.38
04 training medium 72.17 62 52 low 5 f 2.38
04 training medium 68.83 52 56 low 5 j 1.33
04 training medium 65.5 44 47 high 5 f 1.3
04 training medium 75.5 77 55 high 6 j 1.2
04 training medium 72.17 62 56 low 6 j 1.26
04 training medium 68.83 52 52 low 6 f 1.34
04 training medium 65.5 44 51 high 6 f 2.38
04 training medium 75.5 77 51 high 7 f 2.38
04 training medium 68.83 52 56 low 7 j 1.7
04 training medium 72.17 62 52 low 7 j 1.54
04 training medium 65.5 44 55 high 7 j 2.38
04 training medium 72.17 62 48 low 8 f 1.42
04 training medium 68.83 52 52 low 8 f 1.7
04 training medium 75.5 77 55 high 8 j 8.98
04 training medium 65.5 44 51 high 8 f 1.39
04 training medium 65.5 44 55 high 9 j 1.26
04 training medium 72.17 62 52 low 9 j 1.45
04 training medium 72.17 62 48 low 10 j 7.08
04 training medium 72.17 62 44 low 11 j 1.21
04 training medium 72.17 62 40 low 12 f 4.4
04 stair_66.5_medium_4 medium 66.5 46 61 high 1 j 1.69
04 stair_69.0_medium_1 medium 69.0 52 45 low 1 f 2.38
04 stair_74.0_medium_3 medium 74.0 70 67 high 1 j 3.02
04 stair_71.5_medium_2 medium 71.5 60 35 low 1 f 1.3
04 stair_66.5_medium_1 medium 66.5 46 32 low 1 f 1.28
04 stair_76.5_medium_3 medium 76.5 82 31 low 1 f 1.67
04 stair_66.5_medium_2 medium 66.5 46 37 low 1 f 2.38
04 stair_69.0_medium_2 medium 69.0 52 49 high 1 j 1.39
04 stair_76.5_medium_2 medium 76.5 82 58 low 1 j 2.38
04 stair_76.5_medium_1 medium 76.5 82 48 low 1 f 1.37
04 stair_74.0_medium_4 medium 74.0 70 41 low 1 f 1.46
04 stair_69.0_medium_4 medium 69.0 52 43 low 1 j 1.37
04 stair_74.0_medium_1 medium 74.0 70 53 low 1 f 1.4
04 stair_69.0_medium_3 medium 69.0 52 63 high 1 j 2.38
04 stair_71.5_medium_3 medium 71.5 60 55 high 1 j 1.67
04 stair_74.0_medium_2 medium 74.0 70 34 low 1 f 1.35
04 stair_71.5_medium_1 medium 71.5 60 67 high 1 j 1.4
04 stair_71.5_medium_4 medium 71.5 60 47 low 1 f 1.73
04 stair_76.5_medium_4 medium 76.5 82 61 low 1 j 1.12
04 stair_66.5_medium_3 medium 66.5 46 64 high 1 j 1.75
04 stair_74.0_medium_2 medium 74.0 70 40 low 2 f 1.65
04 stair_69.0_medium_3 medium 69.0 52 57 high 2 j 2.98
04 stair_74.0_medium_3 medium 74.0 70 61 high 2 j 1.2
04 stair_66.5_medium_2 medium 66.5 46 43 low 2 f 2.38
04 stair_66.5_medium_4 medium 66.5 46 55 high 2 j 1.32
04 stair_71.5_medium_2 medium 71.5 60 41 low 2 f 1.54
04 stair_71.5_medium_3 medium 71.5 60 49 high 2 j 1.56
04 stair_69.0_medium_4 medium 69.0 52 37 low 2 f 1.39
04 stair_74.0_medium_1 medium 74.0 70 59 low 2 j 1.5
04 stair_76.5_medium_1 medium 76.5 82 54 low 2 j 1.65
04 stair_71.5_medium_1 medium 71.5 60 61 high 2 j 1.63
04 stair_71.5_medium_4 medium 71.5 60 53 low 2 f 3.32
04 stair_76.5_medium_4 medium 76.5 82 55 low 2 f 1.51
04 stair_76.5_medium_3 medium 76.5 82 37 low 2 f 1.46
04 stair_66.5_medium_1 medium 66.5 46 38 low 2 f 1.7
04 stair_74.0_medium_4 medium 74.0 70 47 low 2 f 1.31
04 stair_66.5_medium_3 medium 66.5 46 58 high 2 j 2.38
04 stair_69.0_medium_2 medium 69.0 52 43 high 2 f 1.24
04 stair_69.0_medium_1 medium 69.0 52 51 low 2 j 13.19
04 stair_76.5_medium_2 medium 76.5 82 52 low 2 f 1.42
04 stair_76.5_medium_1 medium 76.5 82 51 low 3 f 1.41
04 stair_66.5_medium_2 medium 66.5 46 49 low 3 j 1.49
04 stair_66.5_medium_3 medium 66.5 46 52 high 3 j 3.13
04 stair_71.5_medium_1 medium 71.5 60 55 high 3 j 1.7
04 stair_69.0_medium_1 medium 69.0 52 48 low 3 f 1.33
04 stair_76.5_medium_4 medium 76.5 82 58 low 3 j 1.24
04 stair_74.0_medium_1 medium 74.0 70 56 low 3 j 4.97
04 stair_69.0_medium_2 medium 69.0 52 46 high 3 f 1.18
04 stair_76.5_medium_3 medium 76.5 82 43 low 3 f 1.14
04 stair_66.5_medium_4 medium 66.5 46 49 high 3 j 1.71
04 stair_66.5_medium_1 medium 66.5 46 44 low 3 f 1.24
04 stair_76.5_medium_2 medium 76.5 82 55 low 3 j 1.23
04 stair_71.5_medium_3 medium 71.5 60 43 high 3 f 1.23
04 stair_74.0_medium_3 medium 74.0 70 55 high 3 j 5.04
04 stair_74.0_medium_4 medium 74.0 70 53 low 3 j 1.26
04 stair_74.0_medium_2 medium 74.0 70 46 low 3 f 1.11
