# {'Alias': '02', 'Session': '03', 'tstamp': '20230831_0917', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
02 training medium 65.5 44 54 low 1 f 2.38
02 training medium 68.83 52 56 low 1 space 3.01
02 training medium 75.5 77 50 high 1 f 1.28
02 training medium 72.17 62 45 low 1 space 1.64
02 training medium 75.5 77 58 high 2 space 1.5
02 training medium 68.83 52 48 low 2 space 2.38
02 training medium 65.5 44 62 low 2 j 1.27
02 training medium 72.17 62 37 low 2 f 1.79
02 training medium 72.17 62 43 low 3 f 2.38
02 training medium 65.5 44 56 low 3 j 1.29
02 training medium 75.5 77 66 high 3 j 1.8
02 training medium 68.83 52 40 low 3 f 3.44
02 training medium 65.5 44 50 low 4 j 1.5
02 training medium 68.83 52 46 low 4 f 2.38
02 training medium 72.17 62 49 low 4 f 2.38
02 training medium 75.5 77 60 high 4 j 1.27
02 training medium 68.83 52 52 low 5 j 2.38
02 training medium 75.5 77 54 high 5 space 2.38
02 training medium 72.17 62 55 low 5 j 3.25
02 training medium 65.5 44 44 low 5 j 3.52
02 training medium 65.5 44 38 low 6 space 2.38
02 training medium 68.83 52 48 low 6 j 3.08
02 training medium 72.17 62 51 low 6 space 2.38
02 training medium 75.5 77 48 high 6 f 3.0
02 training medium 65.5 44 32 low 7 space 1.51
02 training medium 72.17 62 47 low 7 space 1.6
02 training medium 68.83 52 44 low 7 j 3.04
02 training medium 75.5 77 52 high 7 j 2.39
02 training medium 68.83 52 40 low 8 space 4.4
02 training medium 72.17 62 43 low 8 space 5.38
02 training medium 65.5 44 26 low 8 space 1.6
02 training medium 75.5 77 48 high 8 f 2.38
02 training medium 65.5 44 20 low 9 f 2.38
02 training medium 72.17 62 39 low 9 space 3.21
02 training medium 75.5 77 52 high 9 j 1.72
02 training medium 68.83 52 36 low 9 f 1.32
02 training medium 75.5 77 48 high 10 j 2.38
02 training medium 65.5 44 24 low 10 f 1.48
02 training medium 72.17 62 35 low 10 space 1.63
02 training medium 68.83 52 40 low 10 j 1.7
02 training medium 75.5 77 44 high 11 space 2.38
02 training medium 68.83 52 36 low 11 f 1.67
02 training medium 72.17 62 31 low 11 f 3.42
02 training medium 65.5 44 28 low 11 f 3.11
02 training medium 65.5 44 32 low 12 space 5.01
02 training medium 72.17 62 35 low 12 f 2.38
02 training medium 68.83 52 40 low 12 space 4.39
02 training medium 75.5 77 40 high 12 f 1.49
02 training medium 68.83 52 44 low 13 j 1.48
02 training medium 72.17 62 39 low 13 space 1.29
02 training medium 65.5 44 36 low 13 space 3.49
02 training medium 72.17 62 43 low 14 space 1.58
02 training medium 65.5 44 40 low 14 j 2.38
02 training medium 72.17 62 47 low 15 space 1.46
02 training medium 65.5 44 36 low 15 space 1.73
02 training medium 65.5 44 32 low 16 space 1.39
02 training medium 72.17 62 51 low 16 j 1.8
02 training medium 65.5 44 28 low 17 f 1.5
02 training medium 72.17 62 47 low 17 space 1.47
02 training medium 65.5 44 32 low 18 f 1.14
02 training medium 72.17 62 43 low 18 space 1.31
02 training medium 65.5 44 36 low 19 space 2.97
02 training medium 72.17 62 39 low 19 space 1.37
02 training medium 65.5 44 40 low 20 j 1.43
02 training medium 72.17 62 35 low 20 f 1.25
02 training medium 72.17 62 39 low 21 space 1.23
02 training medium 65.5 44 36 low 21 space 1.23
02 training medium 72.17 62 43 low 22 space 3.3
02 training medium 65.5 44 32 low 22 f 1.54
02 training medium 72.17 62 47 low 23 j 1.48
02 stair_76.5_medium_4 medium 76.5 82 50 low 1 space 2.38
02 stair_71.5_medium_3 medium 71.5 60 48 low 1 j 1.58
02 stair_74.0_medium_4 medium 74.0 70 57 low 1 j 2.38
02 stair_74.0_medium_2 medium 74.0 70 64 high 1 j 1.52
02 stair_69.0_medium_4 medium 69.0 52 42 low 1 f 3.39
02 stair_71.5_medium_1 medium 71.5 60 57 high 1 j 1.48
02 stair_69.0_medium_3 medium 69.0 52 37 low 1 f 2.38
02 stair_66.5_medium_2 medium 66.5 46 47 high 1 j 1.59
02 stair_69.0_medium_2 medium 69.0 52 69 high 1 j 1.35
02 stair_71.5_medium_2 medium 71.5 60 68 high 1 j 1.44
02 stair_76.5_medium_2 medium 76.5 82 65 low 1 space 3.01
02 stair_71.5_medium_4 medium 71.5 60 42 low 1 f 1.31
02 stair_69.0_medium_1 medium 69.0 52 48 low 1 f 1.3
02 stair_74.0_medium_3 medium 74.0 70 68 high 1 j 1.29
02 stair_76.5_medium_3 medium 76.5 82 31 low 1 f 1.3
02 stair_66.5_medium_3 medium 66.5 46 51 high 1 j 5.16
02 stair_66.5_medium_4 medium 66.5 46 61 high 1 j 1.43
02 stair_76.5_medium_1 medium 76.5 82 35 low 1 f 1.43
02 stair_66.5_medium_1 medium 66.5 46 45 high 1 f 1.63
