# {'Alias': '02', 'Session': '01', 'tstamp': '20230810_0937', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
02 training high 83.0 131 61 high 1 f 76.98
02 training high 75.0 74 78 high 1 j 2.38
02 training high 77.67 89 63 high 1 space 3.14
02 training high 80.33 107 73 high 1 j 5.42
02 training high 83.0 131 69 high 2 space 3.19
02 training high 80.33 107 65 high 2 f 4.4
02 training high 75.0 74 70 high 2 j 2.39
02 training high 77.67 89 71 high 2 j 4.4
02 training high 83.0 131 77 high 3 j 5.12
02 training high 80.33 107 71 high 3 space 2.38
02 training high 75.0 74 62 high 3 f 3.02
02 training high 77.67 89 65 high 3 space 2.38
02 training high 80.33 107 77 high 4 j 3.64
02 training high 75.0 74 68 high 4 f 3.66
02 training high 83.0 131 71 high 4 space 1.67
02 training high 77.67 89 59 high 4 f 1.66
02 training high 75.0 74 74 high 5 j 2.38
02 training high 80.33 107 73 high 5 j 2.97
02 training high 77.67 89 63 high 5 space 6.41
02 training high 83.0 131 65 high 5 j 3.19
02 training high 80.33 107 69 high 6 f 1.47
02 training high 77.67 89 67 high 6 space 5.46
02 training high 75.0 74 70 high 6 f 1.69
02 training high 83.0 131 59 high 6 f 2.38
02 training high 75.0 74 74 high 7 j 1.57
02 training high 83.0 131 63 high 7 f 1.48
02 training high 80.33 107 73 high 7 j 1.42
02 training high 77.67 89 71 high 7 j 1.75
02 training high 83.0 131 67 high 8 space 1.78
02 training high 75.0 74 70 high 8 j 2.38
02 training high 77.67 89 67 high 8 space 3.44
02 training high 80.33 107 69 high 8 f 1.39
02 training high 80.33 107 73 high 9 j 1.13
02 training high 83.0 131 71 high 9 space 1.61
02 training high 75.0 74 66 high 9 f 2.38
02 training high 77.67 89 63 high 9 f 2.38
02 training high 83.0 131 75 high 10 j 2.38
02 training high 75.0 74 70 high 10 space 2.38
02 training high 77.67 89 67 high 10 space 2.38
02 training high 77.67 89 71 high 11 j 2.38
02 training high 83.0 131 71 high 11 j 5.4
02 training high 75.0 74 74 high 11 f 1.63
02 training high 77.67 89 67 high 12 space 3.51
02 training high 75.0 74 78 high 12 j 1.48
02 training high 83.0 131 67 high 12 f 1.33
02 training high 77.67 89 63 high 13 f 1.64
02 training high 83.0 131 71 high 13 space 1.8
02 training high 83.0 131 75 high 14 j 1.35
02 training high 83.0 131 71 high 15 space 1.45
02 training high 83.0 131 67 high 16 space 1.44
02 training high 83.0 131 63 high 17 f 1.43
02 stair_84.0_high_2 high 84.0 149 57 low 1 f 1.57
02 stair_76.5_high_3 high 76.5 82 67 high 1 f 2.38
