# {'Alias': '05', 'Session': '02', 'tstamp': '20230815_1153', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
05 training medium 65.5 44 62 low 1 j 1.3
05 training medium 68.83 52 44 low 1 f 1.56
05 training medium 72.17 62 50 high 1 f 1.42
05 training medium 75.5 77 64 high 1 space 2.38
05 training medium 75.5 77 72 high 2 j 2.38
05 training medium 65.5 44 54 low 2 f 2.38
05 training medium 72.17 62 58 high 2 space 5.83
05 training medium 68.83 52 52 low 2 f 2.39
05 training medium 72.17 62 66 high 3 space 1.65
05 training medium 68.83 52 60 low 3 j 2.39
05 training medium 65.5 44 60 low 3 j 4.4
05 training medium 75.5 77 66 high 3 space 2.37
05 training medium 68.83 52 54 low 4 f 2.38
05 training medium 65.5 44 56 low 4 j 2.37
05 training medium 75.5 77 60 high 4 f 2.39
05 training medium 72.17 62 74 high 4 j 1.51
05 training medium 68.83 52 58 low 5 f 1.37
05 training medium 65.5 44 52 low 5 space 3.4
05 training medium 72.17 62 68 high 5 space 1.72
05 training medium 75.5 77 64 high 5 f 1.58
05 training medium 72.17 62 62 high 6 space 3.45
05 training medium 75.5 77 68 high 6 space 3.06
05 training medium 68.83 52 62 low 6 j 3.69
05 training medium 65.5 44 48 low 6 space 3.59
05 training medium 72.17 62 56 high 7 f 1.5
05 training medium 68.83 52 58 low 7 j 2.38
05 training medium 75.5 77 72 high 7 f 2.38
05 training medium 65.5 44 44 low 7 f 3.63
05 training medium 72.17 62 60 high 8 space 3.66
05 training medium 75.5 77 76 high 8 space 1.61
05 training medium 68.83 52 54 low 8 f 4.38
05 training medium 65.5 44 48 low 8 f 2.38
05 training medium 72.17 62 64 high 9 j 3.74
05 training medium 65.5 44 52 low 9 f 3.67
05 training medium 75.5 77 80 high 9 j 4.4
05 training medium 68.83 52 58 low 9 space 2.38
05 training medium 65.5 44 56 low 10 j 3.61
05 training medium 72.17 62 60 high 10 f 1.42
05 training medium 75.5 77 76 high 10 j 1.75
05 training medium 68.83 52 62 low 10 j 6.41
05 training medium 65.5 44 52 low 11 space 4.38
05 training medium 72.17 62 64 high 11 f 1.5
05 training medium 68.83 52 58 low 11 f 7.4
05 training medium 75.5 77 72 high 11 j 2.37
05 training medium 75.5 77 68 high 12 j 2.38
05 training medium 72.17 62 68 high 12 f 2.38
05 training medium 65.5 44 48 low 12 f 3.53
05 training medium 65.5 44 52 low 13 j 5.71
05 training medium 75.5 77 64 high 13 f 2.38
05 training medium 72.17 62 72 high 13 j 4.39
05 training medium 72.17 62 68 high 14 space 2.38
05 training medium 75.5 77 68 high 14 space 2.37
05 training medium 75.5 77 72 high 15 space 2.38
05 training medium 72.17 62 64 high 15 f 4.39
05 training medium 75.5 77 76 high 16 j 2.37
05 training medium 75.5 77 72 high 17 j 3.24
05 training medium 75.5 77 68 high 18 f 2.38
05 stair_76.5_medium_2 medium 76.5 82 70 high 1 space 2.38
05 stair_71.5_medium_4 medium 71.5 60 38 low 1 f 2.38
05 stair_66.5_medium_2 medium 66.5 46 35 low 1 f 2.38
05 stair_74.0_medium_2 medium 74.0 70 66 high 1 space 2.38
05 stair_69.0_medium_3 medium 69.0 52 67 high 1 j 1.75
