# {'Alias': '02', 'Session': '02', 'tstamp': '20230818_0846', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
02 training low 62.67 39 45 low 1 j 3.14
02 training low 65.33 44 38 low 1 space 3.41
02 training low 68.0 50 24 high 1 f 2.38
02 training low 60.0 33 31 high 1 j 12.44
02 training low 62.67 39 37 low 2 space 7.54
02 training low 68.0 50 32 high 2 f 1.65
02 training low 65.33 44 30 low 2 f 4.39
02 training low 60.0 33 23 high 2 space 3.19
02 training low 62.67 39 29 low 3 f 3.33
02 training low 60.0 33 15 high 3 f 6.42
02 training low 68.0 50 40 high 3 space 3.29
02 training low 65.33 44 36 low 3 space 4.39
02 training low 60.0 33 21 high 4 space 3.3
02 training low 62.67 39 35 low 4 j 4.39
02 training low 65.33 44 42 low 4 space 4.39
02 training low 68.0 50 48 high 4 j 2.38
02 training low 60.0 33 27 high 5 j 3.39
02 training low 65.33 44 48 low 5 j 1.75
02 training low 62.67 39 31 low 5 space 9.54
02 training low 68.0 50 42 high 5 j 4.39
02 training low 68.0 50 36 high 6 f 11.28
02 training low 65.33 44 44 low 6 j 2.38
02 training low 62.67 39 27 low 6 j 3.18
02 training low 60.0 33 23 high 6 space 3.31
02 training low 65.33 44 40 low 7 j 3.04
02 training low 68.0 50 40 high 7 f 2.38
02 training low 62.67 39 23 low 7 j 1.6
02 training low 60.0 33 19 high 7 space 2.38
02 training low 65.33 44 36 low 8 f 4.41
02 training low 68.0 50 44 high 8 j 3.74
02 training low 62.67 39 19 low 8 f 2.38
02 training low 60.0 33 15 high 8 f 6.42
02 training low 65.33 44 40 low 9 space 5.82
02 training low 62.67 39 23 low 9 space 5.84
02 training low 60.0 33 19 high 9 space 5.2
02 training low 68.0 50 40 high 9 space 1.7
02 training low 62.67 39 27 low 10 f 2.39
02 training low 60.0 33 23 high 10 space 4.41
02 training low 68.0 50 36 high 10 j 3.69
02 training low 65.33 44 44 low 10 j 2.38
02 training low 65.33 44 40 low 11 space 4.39
02 training low 68.0 50 32 high 11 f 1.76
02 training low 60.0 33 27 high 11 j 5.22
02 training low 62.67 39 31 low 11 space 3.43
02 training low 65.33 44 36 low 12 space 2.37
02 training low 60.0 33 23 high 12 space 6.4
02 training low 68.0 50 36 high 12 j 5.43
02 training low 62.67 39 35 low 12 j 2.38
02 training low 60.0 33 19 high 13 f 2.38
02 training low 68.0 50 32 high 13 f 2.37
02 training low 65.33 44 32 low 13 f 4.39
02 training low 62.67 39 31 low 13 space 4.39
02 training low 65.33 44 36 low 14 j 4.41
02 training low 60.0 33 23 high 14 space 3.14
02 training low 62.67 39 27 low 14 space 2.38
02 training low 60.0 33 27 high 15 space 1.58
02 training low 62.67 39 23 low 15 space 3.6
02 training low 62.67 39 19 low 16 f 2.38
02 training low 60.0 33 31 high 16 j 1.56
02 training low 62.67 39 23 low 17 f 2.38
02 training low 62.67 39 27 low 18 f 3.12
02 training low 62.67 39 31 low 19 j 1.59
02 stair_66.5_low_3 low 66.5 46 22 low 1 f 1.67
02 stair_61.5_low_2 low 61.5 36 47 high 1 j 3.18
02 stair_59.0_low_1 low 59.0 31 48 high 1 j 5.71
