# {'Alias': '01', 'Session': '01', 'tstamp': '20230828_1107', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
01 training low 68.0 50 31 high 1 f 19.18
01 training low 60.0 33 31 low 1 j 5.67
01 training low 62.67 39 34 low 1 j 2.38
01 training low 65.33 44 43 high 1 f 1.45
01 training low 60.0 33 23 low 2 f 11.25
01 training low 62.67 39 26 low 2 f 2.38
01 training low 68.0 50 39 high 2 j 4.4
01 training low 65.33 44 51 high 2 j 1.34
01 training low 65.33 44 45 high 3 j 1.43
01 training low 68.0 50 33 high 3 f 1.19
01 training low 62.67 39 32 low 3 j 1.54
01 training low 60.0 33 29 low 3 j 2.38
01 training low 68.0 50 37 high 4 f 1.73
01 training low 60.0 33 25 low 4 j 2.38
01 training low 65.33 44 39 high 4 j 2.38
01 training low 62.67 39 28 low 4 j 1.57
01 training low 62.67 39 24 low 5 f 1.4
01 training low 65.33 44 33 high 5 j 1.78
01 training low 60.0 33 21 low 5 f 2.38
01 training low 68.0 50 41 high 5 f 1.49
01 training low 68.0 50 45 high 6 j 1.4
01 training low 62.67 39 28 low 6 f 2.38
01 training low 60.0 33 25 low 6 j 2.38
01 training low 65.33 44 27 high 6 f 1.55
01 training low 65.33 44 31 high 7 j 1.62
01 training low 60.0 33 21 low 7 f 1.48
01 training low 68.0 50 41 high 7 j 1.66
01 training low 62.67 39 32 low 7 j 2.38
01 training low 65.33 44 27 high 8 f 1.14
01 training low 60.0 33 25 low 8 j 1.74
01 training low 62.67 39 28 low 8 f 1.38
01 training low 68.0 50 37 high 8 j 1.52
01 training low 65.33 44 31 high 9 j 1.43
01 training low 62.67 39 32 low 9 j 1.62
01 training low 68.0 50 33 high 9 f 1.19
01 training low 65.33 44 27 high 10 f 1.31
01 training low 68.0 50 37 high 10 f 1.43
01 training low 68.0 50 41 high 11 f 1.62
01 training low 68.0 50 45 high 12 j 1.28
01 training low 68.0 50 41 high 13 j 1.54
01 training low 68.0 50 37 high 14 f 1.42
01 stair_66.5_low_1 low 66.5 46 31 low 1 f 5.24
01 stair_69.0_low_1 low 69.0 52 22 low 1 j 1.66
01 stair_66.5_low_4 low 66.5 46 32 low 1 f 5.25
01 stair_59.0_low_4 low 59.0 31 49 high 1 j 1.57
01 stair_59.0_low_2 low 59.0 31 40 high 1 j 1.51
01 stair_64.0_low_4 low 64.0 41 45 high 1 j 1.25
01 stair_66.5_low_2 low 66.5 46 47 high 1 j 11.18
01 stair_59.0_low_3 low 59.0 31 32 high 1 f 1.38
01 stair_61.5_low_3 low 61.5 36 40 high 1 j 7.6
01 stair_64.0_low_3 low 64.0 41 25 low 1 f 3.52
01 stair_64.0_low_2 low 64.0 41 47 high 1 j 1.38
01 stair_69.0_low_2 low 69.0 52 39 low 1 f 1.14
01 stair_69.0_low_4 low 69.0 52 48 low 1 j 1.24
01 stair_64.0_low_1 low 64.0 41 50 high 1 j 1.51
01 stair_66.5_low_3 low 66.5 46 46 high 1 j 1.28
01 stair_61.5_low_1 low 61.5 36 31 high 1 f 1.25
01 stair_61.5_low_2 low 61.5 36 44 high 1 j 1.28
01 stair_61.5_low_4 low 61.5 36 35 high 1 j 2.38
01 stair_69.0_low_3 low 69.0 52 27 low 1 f 1.16
01 stair_59.0_low_1 low 59.0 31 47 high 1 j 2.38
01 stair_64.0_low_3 low 64.0 41 31 low 2 j 1.65
01 stair_64.0_low_2 low 64.0 41 41 high 2 j 4.4
01 stair_61.5_low_2 low 61.5 36 38 high 2 f 1.22
01 stair_61.5_low_1 low 61.5 36 37 high 2 f 1.29
01 stair_61.5_low_3 low 61.5 36 34 high 2 f 1.27
01 stair_64.0_low_1 low 64.0 41 44 high 2 j 9.4
01 stair_59.0_low_3 low 59.0 31 38 high 2 f 1.51
01 stair_66.5_low_2 low 66.5 46 41 high 2 j 1.58
01 stair_59.0_low_2 low 59.0 31 34 high 2 j 1.6
01 stair_66.5_low_3 low 66.5 46 40 high 2 f 1.46
01 stair_69.0_low_4 low 69.0 52 42 low 2 f 1.46
01 stair_69.0_low_1 low 69.0 52 16 low 2 f 1.14
01 stair_66.5_low_4 low 66.5 46 38 low 2 f 1.19
01 stair_66.5_low_1 low 66.5 46 37 low 2 f 1.11
01 stair_69.0_low_2 low 69.0 52 45 low 2 j 1.4
01 stair_69.0_low_3 low 69.0 52 33 low 2 f 1.17
01 stair_59.0_low_1 low 59.0 31 41 high 2 j 5.28
01 stair_64.0_low_4 low 64.0 41 39 high 2 j 1.15
01 stair_61.5_low_4 low 61.5 36 29 high 2 f 1.27
01 stair_59.0_low_4 low 59.0 31 43 high 2 j 2.38
01 stair_61.5_low_3 low 61.5 36 37 high 3 j 1.44
01 stair_59.0_low_2 low 59.0 31 28 high 3 j 1.4
01 stair_69.0_low_3 low 69.0 52 39 low 3 j 3.24
01 stair_66.5_low_3 low 66.5 46 43 high 3 j 1.27
01 stair_64.0_low_3 low 64.0 41 28 low 3 j 1.32
01 stair_59.0_low_3 low 59.0 31 44 high 3 j 1.45
01 stair_69.0_low_2 low 69.0 52 42 low 3 f 1.41
01 stair_64.0_low_1 low 64.0 41 38 high 3 j 1.56
01 stair_61.5_low_2 low 61.5 36 41 high 3 f 1.34
01 stair_64.0_low_4 low 64.0 41 33 high 3 f 1.37
01 stair_69.0_low_4 low 69.0 52 45 low 3 f 1.3
01 stair_69.0_low_1 low 69.0 52 19 low 3 f 1.13
01 stair_66.5_low_1 low 66.5 46 43 low 3 j 5.42
01 stair_61.5_low_1 low 61.5 36 43 high 3 j 1.29
01 stair_59.0_low_4 low 59.0 31 37 high 3 j 5.03
01 stair_66.5_low_4 low 66.5 46 44 low 3 j 1.25
01 stair_66.5_low_2 low 66.5 46 35 high 3 f 3.04
01 stair_61.5_low_4 low 61.5 36 32 high 3 j 1.22
01 stair_64.0_low_2 low 64.0 41 35 high 3 j 1.28
01 stair_59.0_low_1 low 59.0 31 35 high 3 j 1.26
01 stair_61.5_low_3 low 61.5 36 35.5 high 4 j 3.14
01 stair_61.5_low_1 low 61.5 36 40 high 4 j 1.33
01 stair_66.5_low_4 low 66.5 46 41 low 4 j 1.27
01 stair_64.0_low_3 low 64.0 41 25 low 4 f 1.28
01 stair_61.5_low_2 low 61.5 36 44 high 4 j 1.17
01 stair_69.0_low_1 low 69.0 52 22 low 4 f 1.37
01 stair_61.5_low_4 low 61.5 36 30.5 high 4 f 1.27
01 stair_66.5_low_2 low 66.5 46 38 high 4 f 1.22
01 stair_64.0_low_2 low 64.0 41 29 high 4 f 1.29
01 stair_66.5_low_1 low 66.5 46 40 low 4 j 1.27
01 stair_64.0_low_1 low 64.0 41 32 high 4 j 1.38
01 stair_64.0_low_4 low 64.0 41 36 high 4 j 1.27
01 stair_59.0_low_4 low 59.0 31 31 high 4 j 1.52
01 stair_69.0_low_2 low 69.0 52 43.5 low 4 j 4.98
01 stair_69.0_low_3 low 69.0 52 36 low 4 j 1.22
01 stair_59.0_low_2 low 59.0 31 22 high 4 f 1.75
01 stair_69.0_low_4 low 69.0 52 48 low 4 j 2.38
01 stair_66.5_low_3 low 66.5 46 41.5 high 4 f 1.26
01 stair_59.0_low_1 low 59.0 31 29 high 4 j 1.77
01 stair_59.0_low_3 low 59.0 31 41 high 4 j 1.51
01 stair_66.5_low_3 low 66.5 46 43.0 high 5 j 2.38
01 stair_59.0_low_3 low 59.0 31 38 high 5 j 2.38
01 stair_66.5_low_4 low 66.5 46 38 low 5 f 1.67
01 stair_61.5_low_1 low 61.5 36 37 high 5 j 1.51
01 stair_66.5_low_1 low 66.5 46 37 low 5 j 1.31
01 stair_69.0_low_4 low 69.0 52 46.5 low 5 j 1.2
01 stair_69.0_low_3 low 69.0 52 33 low 5 f 2.98
01 stair_64.0_low_3 low 64.0 41 26.5 low 5 f 1.38
01 stair_69.0_low_2 low 69.0 52 42.0 low 5 j 1.39
01 stair_61.5_low_4 low 61.5 36 32.0 high 5 j 4.39
01 stair_69.0_low_1 low 69.0 52 25 low 5 f 1.33
01 stair_59.0_low_1 low 59.0 31 23 high 5 j 1.45
01 stair_61.5_low_3 low 61.5 36 34.0 high 5 f 1.3
01 stair_64.0_low_1 low 64.0 41 26 high 5 f 1.4
01 stair_59.0_low_2 low 59.0 31 25 high 5 j 1.36
01 stair_64.0_low_4 low 64.0 41 34.5 high 5 j 1.45
01 stair_61.5_low_2 low 61.5 36 42.5 high 5 j 1.24
01 stair_66.5_low_2 low 66.5 46 41 high 5 f 2.38
01 stair_64.0_low_2 low 64.0 41 32 high 5 j 1.45
01 stair_59.0_low_4 low 59.0 31 25 high 5 j 1.57
01 stair_64.0_low_2 low 64.0 41 30.5 high 6 f 1.66
01 stair_61.5_low_1 low 61.5 36 34 high 6 j 1.46
01 stair_69.0_low_4 low 69.0 52 45.0 low 6 j 1.22
01 stair_69.0_low_1 low 69.0 52 28 low 6 f 2.38
01 stair_59.0_low_1 low 59.0 31 17 high 6 j 4.4
01 stair_59.0_low_4 low 59.0 31 19 high 6 f 2.39
01 stair_59.0_low_2 low 59.0 31 23.5 high 6 f 1.42
01 stair_64.0_low_1 low 64.0 41 29 high 6 f 2.94
01 stair_66.5_low_3 low 66.5 46 41.5 high 6 j 1.33
01 stair_66.5_low_2 low 66.5 46 44 high 6 j 1.82
01 stair_64.0_low_3 low 64.0 41 28.0 low 6 f 1.13
01 stair_61.5_low_3 low 61.5 36 35.5 high 6 j 1.26
01 stair_66.5_low_4 low 66.5 46 39.5 low 6 f 3.14
01 stair_66.5_low_1 low 66.5 46 34 low 6 f 2.38
01 stair_64.0_low_4 low 64.0 41 33.0 high 6 j 2.38
01 stair_61.5_low_2 low 61.5 36 41.0 high 6 j 1.23
01 stair_59.0_low_3 low 59.0 31 35 high 6 j 1.79
01 stair_61.5_low_4 low 61.5 36 30.5 high 6 j 1.61
01 stair_69.0_low_3 low 69.0 52 34.5 low 6 f 1.53
01 stair_69.0_low_2 low 69.0 52 40.5 low 6 f 1.41
01 stair_59.0_low_2 low 59.0 31 25.0 high 7 j 2.38
01 stair_61.5_low_3 low 61.5 36 34.0 high 7 j 1.6
01 stair_64.0_low_2 low 64.0 41 32.0 high 7 j 1.43
01 stair_66.5_low_3 low 66.5 46 40.0 high 7 j 1.42
01 stair_66.5_low_2 low 66.5 46 42.5 high 7 j 1.43
01 stair_69.0_low_1 low 69.0 52 31 low 7 f 1.52
01 stair_61.5_low_4 low 61.5 36 29.0 high 7 j 1.54
01 stair_59.0_low_4 low 59.0 31 22 high 7 j 1.78
01 stair_59.0_low_1 low 59.0 31 11 high 7 f 5.46
01 stair_69.0_low_3 low 69.0 52 36.0 low 7 f 1.45
01 stair_61.5_low_2 low 61.5 36 39.5 high 7 f 2.38
01 stair_66.5_low_4 low 66.5 46 41.0 low 7 j 2.38
01 stair_69.0_low_4 low 69.0 52 43.5 low 7 j 5.68
01 stair_59.0_low_3 low 59.0 31 32 high 7 j 1.55
01 stair_64.0_low_3 low 64.0 41 29.5 low 7 j 1.44
01 stair_61.5_low_1 low 61.5 36 31 high 7 j 1.7
01 stair_66.5_low_1 low 66.5 46 35.5 low 7 f 1.21
01 stair_64.0_low_4 low 64.0 41 31.5 high 7 j 1.26
01 stair_64.0_low_1 low 64.0 41 32 high 7 j 1.29
01 stair_69.0_low_2 low 69.0 52 42.0 low 7 f 2.97
01 stair_66.5_low_4 low 66.5 46 39.5 low 8 j 1.34
01 stair_64.0_low_4 low 64.0 41 30.0 high 8 f 1.51
01 stair_59.0_low_2 low 59.0 31 23.5 high 8 j 1.47
01 stair_59.0_low_3 low 59.0 31 29 high 8 j 1.43
01 stair_64.0_low_3 low 64.0 41 28.0 low 8 space 1.68
01 stair_64.0_low_2 low 64.0 41 30.5 high 8 space 1.39
01 stair_66.5_low_2 low 66.5 46 41.0 high 8 j 1.3
01 stair_61.5_low_1 low 61.5 36 28 high 8 j 1.39
01 stair_66.5_low_3 low 66.5 46 38.5 high 8 f 1.32
01 stair_59.0_low_4 low 59.0 31 20.5 high 8 j 1.46
01 stair_64.0_low_1 low 64.0 41 30.5 high 8 space 1.69
01 stair_61.5_low_4 low 61.5 36 27.5 high 8 space 1.53
01 stair_61.5_low_2 low 61.5 36 41.0 high 8 j 1.3
01 stair_61.5_low_3 low 61.5 36 32.5 high 8 j 1.57
01 stair_59.0_low_1 low 59.0 31 14 high 8 space 1.75
01 stair_69.0_low_3 low 69.0 52 37.5 low 8 f 1.44
01 stair_69.0_low_1 low 69.0 52 34 low 8 f 5.1
01 stair_69.0_low_4 low 69.0 52 42.0 low 8 j 1.4
01 stair_66.5_low_1 low 66.5 46 37.0 low 8 f 1.62
01 stair_69.0_low_2 low 69.0 52 43.5 low 8 j 1.3
01 stair_64.0_low_1 low 64.0 41 29.0 high 9 f 1.76
01 stair_66.5_low_4 low 66.5 46 38.0 low 9 j 1.36
01 stair_61.5_low_1 low 61.5 36 25 high 9 space 2.39
01 stair_69.0_low_1 low 69.0 52 37 low 9 j 1.23
01 stair_64.0_low_2 low 64.0 41 29.0 high 9 f 1.47
01 stair_61.5_low_2 low 61.5 36 39.5 high 9 j 1.45
01 stair_66.5_low_2 low 66.5 46 39.5 high 9 j 1.28
01 stair_59.0_low_2 low 59.0 31 22.0 high 9 j 1.73
01 stair_69.0_low_3 low 69.0 52 39.0 low 9 f 1.17
01 stair_64.0_low_3 low 64.0 41 26.5 low 9 f 1.13
01 stair_64.0_low_4 low 64.0 41 31.5 high 9 f 1.23
01 stair_59.0_low_3 low 59.0 31 26 high 9 j 1.81
