# {'Alias': '03', 'Session': '03', 'tstamp': '20230817_1238', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
03 training low 65.33 44 45 high 1 f 2.38
03 training low 62.67 39 34 low 1 f 1.23
03 training low 68.0 50 41 high 1 space 1.67
03 training low 60.0 33 29 high 1 f 1.75
03 training low 62.67 39 42 low 2 space 1.49
03 training low 68.0 50 49 high 2 space 1.69
03 training low 65.33 44 53 high 2 j 1.66
03 training low 60.0 33 37 high 2 f 5.19
03 training low 68.0 50 57 high 3 j 1.4
03 training low 60.0 33 45 high 3 space 2.38
03 training low 62.67 39 50 low 3 space 1.67
03 training low 65.33 44 47 high 3 space 1.67
03 training low 62.67 39 58 low 4 j 1.46
03 training low 60.0 33 53 high 4 j 5.49
03 training low 68.0 50 51 high 4 space 1.3
03 training low 65.33 44 41 high 4 f 1.26
03 training low 68.0 50 45 high 5 space 1.34
03 training low 62.67 39 52 low 5 space 1.35
03 training low 60.0 33 47 high 5 f 3.01
03 training low 65.33 44 45 high 5 space 1.47
03 training low 65.33 44 49 high 6 space 1.53
03 training low 60.0 33 51 high 6 j 1.71
03 training low 62.67 39 46 low 6 space 2.38
03 training low 68.0 50 39 high 6 f 1.37
03 training low 65.33 44 53 high 7 j 1.51
03 training low 68.0 50 43 high 7 f 2.38
03 training low 60.0 33 47 high 7 space 1.44
03 training low 62.67 39 40 low 7 f 1.79
03 training low 60.0 33 43 high 8 space 2.38
03 training low 62.67 39 44 low 8 f 2.38
03 training low 65.33 44 49 high 8 space 2.37
03 training low 68.0 50 47 high 8 space 1.33
03 training low 60.0 33 39 high 9 f 5.34
03 training low 65.33 44 45 high 9 space 1.48
03 training low 68.0 50 51 high 9 j 1.4
03 training low 62.67 39 48 low 9 space 1.14
03 training low 65.33 44 41 high 10 space 1.32
03 training low 60.0 33 43 high 10 space 2.39
03 training low 68.0 50 47 high 10 space 1.45
03 training low 62.67 39 52 low 10 j 1.31
03 training low 68.0 50 43 high 11 space 1.34
03 training low 60.0 33 47 high 11 space 1.19
03 training low 62.67 39 48 low 11 space 1.31
03 training low 65.33 44 37 high 11 f 1.36
03 training low 60.0 33 51 high 12 j 1.29
03 training low 65.33 44 41 high 12 space 1.24
03 training low 68.0 50 39 high 12 f 1.31
03 training low 62.67 39 44 low 12 space 1.31
03 training low 60.0 33 47 high 13 j 5.79
03 training low 62.67 39 40 low 13 space 2.38
03 training low 68.0 50 43 high 13 f 1.37
03 training low 65.33 44 45 high 13 space 1.35
03 training low 65.33 44 49 high 14 space 1.65
03 training low 60.0 33 43 high 14 f 1.77
03 training low 62.67 39 36 low 14 f 1.38
03 training low 68.0 50 47 high 14 space 2.38
03 training low 65.33 44 53 high 15 j 1.28
03 training low 68.0 50 51 high 15 j 1.52
03 training low 62.67 39 40 low 15 f 1.75
03 training low 68.0 50 47 high 16 space 1.33
03 training low 62.67 39 44 low 16 space 1.12
03 training low 65.33 44 49 high 16 space 1.38
03 training low 65.33 44 45 high 17 space 1.46
03 training low 68.0 50 43 high 17 j 1.45
03 training low 62.67 39 48 low 17 j 1.34
03 training low 62.67 39 44 low 18 space 2.37
03 training low 65.33 44 41 high 18 f 1.44
03 training low 68.0 50 39 high 18 f 1.59
03 training low 62.67 39 40 low 19 f 3.58
03 stair_59.0_low_3 low 59.0 31 23 low 1 space 3.47
03 stair_69.0_low_2 low 69.0 52 48 low 1 j 2.39
03 stair_64.0_low_1 low 64.0 41 35 low 1 space 2.38
03 stair_69.0_low_4 low 69.0 52 28 low 1 f 1.47
03 stair_61.5_low_2 low 61.5 36 50 high 1 j 1.45
03 stair_64.0_low_4 low 64.0 41 41 high 1 space 1.29
03 stair_64.0_low_3 low 64.0 41 32 low 1 f 1.64
03 stair_61.5_low_3 low 61.5 36 37 high 1 space 1.32
03 stair_66.5_low_2 low 66.5 46 29 low 1 f 1.65
03 stair_59.0_low_2 low 59.0 31 33 high 1 space 1.56
03 stair_64.0_low_2 low 64.0 41 45 high 1 space 1.79
03 stair_61.5_low_4 low 61.5 36 45 high 1 j 1.66
03 stair_59.0_low_4 low 59.0 31 36 high 1 space 1.56
03 stair_59.0_low_1 low 59.0 31 42 high 1 j 1.79
03 stair_61.5_low_1 low 61.5 36 45 high 1 j 1.66
03 stair_66.5_low_1 low 66.5 46 47 high 1 space 1.4
03 stair_69.0_low_1 low 69.0 52 20 low 1 f 2.38
03 stair_66.5_low_3 low 66.5 46 29 low 1 f 1.48
03 stair_66.5_low_4 low 66.5 46 23 low 1 f 1.38
03 stair_69.0_low_3 low 69.0 52 42 low 1 space 1.57
03 stair_69.0_low_2 low 69.0 52 42 low 2 space 2.38
03 stair_64.0_low_3 low 64.0 41 38 low 2 f 1.59
03 stair_66.5_low_2 low 66.5 46 35 low 2 f 1.46
03 stair_59.0_low_2 low 59.0 31 39 high 2 j 2.38
03 stair_66.5_low_3 low 66.5 46 35 low 2 f 1.77
03 stair_64.0_low_2 low 64.0 41 51 high 2 j 1.46
03 stair_69.0_low_1 low 69.0 52 26 low 2 f 1.34
03 stair_59.0_low_1 low 59.0 31 36 high 2 space 1.67
03 stair_64.0_low_1 low 64.0 41 29 low 2 f 1.7
03 stair_59.0_low_3 low 59.0 31 17 low 2 space 1.46
03 stair_64.0_low_4 low 64.0 41 47 high 2 j 2.38
03 stair_69.0_low_4 low 69.0 52 34 low 2 f 1.35
03 stair_61.5_low_2 low 61.5 36 44 high 2 space 1.75
03 stair_59.0_low_4 low 59.0 31 42 high 2 j 3.6
03 stair_61.5_low_1 low 61.5 36 39 high 2 space 1.51
