# {'Alias': '03', 'Session': '01', 'tstamp': '20230810_1155', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
03 training high 77.67 89 67 low 1 j 2.39
03 training high 75.0 74 74 low 1 j 1.51
03 training high 83.0 131 75 high 1 space 1.78
03 training high 80.33 107 65 high 1 f 1.56
03 training high 77.67 89 59 low 2 f 1.69
03 training high 75.0 74 66 low 2 space 1.78
03 training high 80.33 107 73 high 2 space 1.8
03 training high 83.0 131 83 high 2 j 1.71
03 training high 77.67 89 65 low 3 space 2.37
03 training high 75.0 74 58 low 3 f 2.37
03 training high 80.33 107 81 high 3 j 2.38
03 training high 83.0 131 77 high 3 j 1.56
03 training high 75.0 74 64 low 4 space 2.38
03 training high 83.0 131 71 high 4 f 2.38
03 training high 77.67 89 71 low 4 space 2.38
03 training high 80.33 107 75 high 4 j 1.5
03 training high 80.33 107 69 high 5 space 2.38
03 training high 83.0 131 75 high 5 space 1.72
03 training high 75.0 74 70 low 5 space 1.82
03 training high 77.67 89 77 low 5 j 1.63
03 training high 77.67 89 73 low 6 space 1.77
03 training high 80.33 107 63 high 6 f 1.6
03 training high 83.0 131 79 high 6 j 1.62
03 training high 75.0 74 76 low 6 j 1.45
03 training high 75.0 74 72 low 7 space 1.59
03 training high 77.67 89 69 low 7 space 1.44
03 training high 83.0 131 75 high 7 space 1.7
03 training high 80.33 107 67 high 7 f 1.35
03 training high 80.33 107 71 high 8 space 2.38
03 training high 75.0 74 68 low 8 space 1.7
03 training high 83.0 131 71 high 8 j 2.38
03 training high 77.67 89 65 low 8 f 1.78
03 training high 75.0 74 64 low 9 space 1.52
03 training high 83.0 131 67 high 9 f 1.5
03 training high 80.33 107 75 high 9 j 1.6
03 training high 77.67 89 69 low 9 space 1.41
03 training high 80.33 107 71 high 10 space 1.58
03 training high 83.0 131 71 high 10 f 2.38
03 training high 75.0 74 60 low 10 f 1.57
03 training high 77.67 89 73 low 10 j 1.47
03 training high 77.67 89 69 low 11 space 1.4
03 training high 83.0 131 75 high 11 j 1.45
03 training high 80.33 107 67 high 11 space 1.58
03 training high 75.0 74 64 low 11 space 1.73
03 training high 75.0 74 68 low 12 j 1.78
03 training high 77.67 89 65 low 12 space 2.38
03 training high 80.33 107 63 high 12 f 1.38
03 training high 83.0 131 71 high 12 f 2.39
03 training high 80.33 107 67 high 13 space 3.44
03 training high 75.0 74 64 low 13 space 1.72
03 training high 77.67 89 61 low 13 f 1.35
03 training high 77.67 89 65 low 14 space 1.54
03 training high 80.33 107 71 high 14 j 1.51
03 training high 75.0 74 60 low 14 f 2.38
03 training high 75.0 74 64 low 15 space 3.44
03 training high 77.67 89 69 low 15 j 1.74
03 training high 80.33 107 67 high 15 f 2.38
03 training high 75.0 74 68 low 16 j 1.45
03 stair_81.5_high_4 high 81.5 117 72 low 1 j 1.73
03 stair_79.0_high_4 high 79.0 98 75 high 1 space 1.48
03 stair_76.5_high_1 high 76.5 82 74 high 1 j 1.65
03 stair_84.0_high_4 high 84.0 149 53 low 1 f 1.31
03 stair_84.0_high_2 high 84.0 149 68 low 1 f 1.47
03 stair_76.5_high_4 high 76.5 82 68 high 1 space 1.46
03 stair_74.0_high_2 high 74.0 70 75 high 1 j 1.65
03 stair_84.0_high_3 high 84.0 149 74 low 1 space 1.53
03 stair_84.0_high_1 high 84.0 149 72 low 1 f 2.38
03 stair_81.5_high_1 high 81.5 117 73 low 1 space 1.75
03 stair_79.0_high_2 high 79.0 98 68 low 1 space 1.78
03 stair_81.5_high_3 high 81.5 117 59 low 1 f 1.25
03 stair_76.5_high_2 high 76.5 82 62 low 1 f 1.54
03 stair_74.0_high_1 high 74.0 70 78 high 1 j 1.38
03 stair_79.0_high_3 high 79.0 98 59 low 1 f 1.33
03 stair_74.0_high_4 high 74.0 70 60 low 1 space 1.41
03 stair_74.0_high_3 high 74.0 70 77 high 1 j 1.38
03 stair_79.0_high_1 high 79.0 98 74 high 1 j 1.5
03 stair_76.5_high_3 high 76.5 82 72 high 1 j 1.51
03 stair_81.5_high_2 high 81.5 117 77 low 1 space 1.65
03 stair_84.0_high_1 high 84.0 149 78 low 2 space 1.67
03 stair_81.5_high_3 high 81.5 117 65 low 2 f 1.26
03 stair_74.0_high_3 high 74.0 70 71 high 2 j 2.38
03 stair_79.0_high_3 high 79.0 98 65 low 2 space 1.67
03 stair_79.0_high_1 high 79.0 98 68 high 2 space 1.65
03 stair_76.5_high_3 high 76.5 82 66 high 2 space 1.48
03 stair_79.0_high_2 high 79.0 98 62 low 2 f 1.53
03 stair_81.5_high_4 high 81.5 117 66 low 2 f 1.6
03 stair_79.0_high_4 high 79.0 98 81 high 2 j 1.64
03 stair_76.5_high_1 high 76.5 82 68 high 2 space 1.54
03 stair_81.5_high_2 high 81.5 117 71 low 2 f 2.99
03 stair_81.5_high_1 high 81.5 117 67 low 2 f 2.38
03 stair_84.0_high_4 high 84.0 149 59 low 2 f 1.37
03 stair_74.0_high_2 high 74.0 70 69 high 2 j 1.62
03 stair_76.5_high_2 high 76.5 82 68 low 2 space 1.61
03 stair_76.5_high_4 high 76.5 82 74 high 2 j 1.47
03 stair_84.0_high_3 high 84.0 149 68 low 2 f 1.24
03 stair_84.0_high_2 high 84.0 149 74 low 2 f 1.62
03 stair_74.0_high_4 high 74.0 70 54 low 2 space 2.94
03 stair_74.0_high_1 high 74.0 70 72 high 2 j 5.22
03 stair_84.0_high_2 high 84.0 149 80 low 3 space 1.61
03 stair_76.5_high_1 high 76.5 82 62 high 3 space 2.38
03 stair_79.0_high_4 high 79.0 98 78 high 3 j 1.67
03 stair_74.0_high_2 high 74.0 70 63 high 3 f 2.38
03 stair_74.0_high_3 high 74.0 70 65 high 3 space 2.38
03 stair_79.0_high_2 high 79.0 98 65 low 3 f 1.37
03 stair_74.0_high_4 high 74.0 70 48 low 3 f 5.16
03 stair_76.5_high_2 high 76.5 82 74 low 3 j 1.57
03 stair_74.0_high_1 high 74.0 70 66 high 3 space 2.99
03 stair_76.5_high_3 high 76.5 82 60 high 3 f 1.36
03 stair_79.0_high_3 high 79.0 98 71 low 3 space 2.38
03 stair_76.5_high_4 high 76.5 82 71 high 3 j 1.52
03 stair_84.0_high_1 high 84.0 149 84 low 3 space 2.38
03 stair_81.5_high_1 high 81.5 117 70 low 3 j 1.79
03 stair_81.5_high_3 high 81.5 117 71 low 3 space 3.56
03 stair_81.5_high_2 high 81.5 117 74 low 3 space 5.35
03 stair_79.0_high_1 high 79.0 98 62 high 3 space 2.38
03 stair_81.5_high_4 high 81.5 117 69 low 3 f 1.71
03 stair_84.0_high_3 high 84.0 149 71 low 3 f 1.74
03 stair_84.0_high_4 high 84.0 149 65 low 3 f 1.48
03 stair_81.5_high_3 high 81.5 117 77 low 4 j 1.71
03 stair_79.0_high_2 high 79.0 98 68 low 4 j 3.25
03 stair_84.0_high_1 high 84.0 149 90 low 4 j 2.38
03 stair_74.0_high_4 high 74.0 70 51 low 4 f 1.41
03 stair_79.0_high_4 high 79.0 98 75 high 4 j 2.38
03 stair_74.0_high_2 high 74.0 70 66 high 4 space 1.78
03 stair_76.5_high_1 high 76.5 82 56 high 4 f 1.6
03 stair_76.5_high_2 high 76.5 82 71 low 4 j 1.71
03 stair_84.0_high_3 high 84.0 149 74 low 4 j 3.26
03 stair_74.0_high_1 high 74.0 70 60 high 4 f 2.38
03 stair_79.0_high_1 high 79.0 98 56 high 4 f 1.32
03 stair_76.5_high_4 high 76.5 82 68 high 4 space 1.72
03 stair_79.0_high_3 high 79.0 98 77 low 4 j 1.67
03 stair_81.5_high_2 high 81.5 117 77 low 4 j 1.7
03 stair_81.5_high_1 high 81.5 117 68.5 low 4 space 1.47
03 stair_76.5_high_3 high 76.5 82 63 high 4 space 2.38
03 stair_74.0_high_3 high 74.0 70 59 high 4 f 1.47
03 stair_84.0_high_4 high 84.0 149 71 low 4 f 5.46
03 stair_81.5_high_4 high 81.5 117 72 low 4 j 1.81
03 stair_84.0_high_2 high 84.0 149 86 low 4 j 2.37
03 stair_74.0_high_1 high 74.0 70 63 high 5 space 3.41
03 stair_84.0_high_3 high 84.0 149 72.5 low 5 space 3.21
03 stair_79.0_high_4 high 79.0 98 72 high 5 j 1.67
03 stair_76.5_high_3 high 76.5 82 66 high 5 space 2.38
03 stair_74.0_high_4 high 74.0 70 54 low 5 f 1.68
03 stair_84.0_high_1 high 84.0 149 87 low 5 j 3.41
03 stair_74.0_high_3 high 74.0 70 62 high 5 space 2.37
03 stair_81.5_high_3 high 81.5 117 74 low 5 space 1.73
03 stair_76.5_high_2 high 76.5 82 68 low 5 space 1.76
03 stair_81.5_high_4 high 81.5 117 70.5 low 5 f 3.5
03 stair_84.0_high_4 high 84.0 149 77 low 5 space 1.57
03 stair_79.0_high_2 high 79.0 98 66.5 low 5 space 1.74
03 stair_79.0_high_1 high 79.0 98 59 high 5 f 2.93
03 stair_74.0_high_2 high 74.0 70 69 high 5 space 3.01
03 stair_79.0_high_3 high 79.0 98 74 low 5 j 13.17
03 stair_76.5_high_1 high 76.5 82 59 high 5 f 1.44
03 stair_81.5_high_1 high 81.5 117 67.0 low 5 f 1.5
03 stair_84.0_high_2 high 84.0 149 83 low 5 j 3.22
03 stair_81.5_high_2 high 81.5 117 75.5 low 5 space 3.24
03 stair_76.5_high_4 high 76.5 82 65 high 5 f 3.37
03 stair_76.5_high_2 high 76.5 82 65 low 6 space 5.28
03 stair_81.5_high_1 high 81.5 117 68.5 low 6 f 2.38
03 stair_79.0_high_3 high 79.0 98 71 low 6 j 2.38
03 stair_74.0_high_4 high 74.0 70 57 low 6 space 1.65
03 stair_76.5_high_3 high 76.5 82 69 high 6 space 6.41
03 stair_84.0_high_3 high 84.0 149 71.0 low 6 f 2.4
03 stair_84.0_high_1 high 84.0 149 84 low 6 j 1.77
03 stair_84.0_high_2 high 84.0 149 80 low 6 j 1.57
03 stair_79.0_high_1 high 79.0 98 62 high 6 f 2.38
03 stair_74.0_high_2 high 74.0 70 72 high 6 j 1.6
03 stair_81.5_high_2 high 81.5 117 74.0 low 6 space 2.38
03 stair_81.5_high_3 high 81.5 117 71 low 6 f 2.38
03 stair_74.0_high_3 high 74.0 70 65 high 6 space 2.38
03 stair_79.0_high_2 high 79.0 98 65.0 low 6 f 2.38
03 stair_81.5_high_4 high 81.5 117 72.0 low 6 space 2.38
03 stair_76.5_high_4 high 76.5 82 66.5 high 6 space 2.38
03 stair_79.0_high_4 high 79.0 98 69 high 6 space 2.38
03 stair_76.5_high_1 high 76.5 82 62 high 6 f 2.38
03 stair_74.0_high_1 high 74.0 70 66 high 6 space 2.38
03 stair_84.0_high_4 high 84.0 149 83 low 6 j 2.38
03 stair_76.5_high_4 high 76.5 82 68.0 high 7 space 3.0
03 stair_76.5_high_2 high 76.5 82 62 low 7 space 2.38
03 stair_84.0_high_1 high 84.0 149 81 low 7 space 3.81
03 stair_81.5_high_3 high 81.5 117 72.5 low 7 space 2.38
03 stair_81.5_high_2 high 81.5 117 72.5 low 7 space 1.56
03 stair_81.5_high_4 high 81.5 117 73.5 low 7 j 1.59
03 stair_76.5_high_1 high 76.5 82 65 high 7 space 1.73
03 stair_84.0_high_3 high 84.0 149 72.5 low 7 space 2.38
03 stair_84.0_high_2 high 84.0 149 77 low 7 j 2.38
03 stair_81.5_high_1 high 81.5 117 70.0 low 7 space 2.38
03 stair_76.5_high_3 high 76.5 82 72 high 7 space 5.56
03 stair_79.0_high_3 high 79.0 98 68 low 7 space 5.18
03 stair_79.0_high_4 high 79.0 98 66 high 7 space 1.78
03 stair_74.0_high_3 high 74.0 70 68 high 7 space 2.38
03 stair_79.0_high_2 high 79.0 98 66.5 low 7 space 2.38
03 stair_74.0_high_1 high 74.0 70 69 high 7 j 1.67
03 stair_84.0_high_4 high 84.0 149 80 low 7 j 1.75
03 stair_79.0_high_1 high 79.0 98 65 high 7 f 1.67
03 stair_74.0_high_4 high 74.0 70 60 low 7 f 1.43
03 stair_74.0_high_2 high 74.0 70 70.5 high 7 j 1.39
03 stair_81.5_high_3 high 81.5 117 74.0 low 8 space 1.48
03 stair_74.0_high_4 high 74.0 70 63 low 8 space 1.6
03 stair_84.0_high_3 high 84.0 149 74.0 low 8 space 1.66
03 stair_81.5_high_2 high 81.5 117 71.0 low 8 j 1.58
03 stair_84.0_high_1 high 84.0 149 78 low 8 j 2.38
03 stair_79.0_high_4 high 79.0 98 63 high 8 space 1.71
03 stair_74.0_high_2 high 74.0 70 69.0 high 8 j 1.53
03 stair_76.5_high_1 high 76.5 82 68 high 8 space 2.39
03 stair_84.0_high_2 high 84.0 149 74 low 8 j 3.58
03 stair_81.5_high_4 high 81.5 117 72.0 low 8 j 2.38
03 stair_81.5_high_1 high 81.5 117 71.5 low 8 space 1.65
03 stair_79.0_high_3 high 79.0 98 65 low 8 f 2.38
03 stair_74.0_high_1 high 74.0 70 67.5 high 8 space 2.38
03 stair_79.0_high_2 high 79.0 98 68.0 low 8 j 2.38
03 stair_76.5_high_2 high 76.5 82 59 low 8 space 2.38
03 stair_76.5_high_4 high 76.5 82 69.5 high 8 j 1.51
03 stair_74.0_high_3 high 74.0 70 71 high 8 j 1.51
03 stair_84.0_high_4 high 84.0 149 77 low 8 j 1.58
03 stair_79.0_high_1 high 79.0 98 68 high 8 space 1.49
03 stair_76.5_high_3 high 76.5 82 75 high 8 j 1.43
03 stair_74.0_high_3 high 74.0 70 69.5 high 9 j 2.98
03 stair_84.0_high_4 high 84.0 149 74 low 9 space 1.47
03 stair_79.0_high_1 high 79.0 98 71 high 9 j 1.69
03 stair_84.0_high_1 high 84.0 149 75 low 9 space 2.38
03 stair_76.5_high_2 high 76.5 82 56 low 9 f 1.77
03 stair_81.5_high_1 high 81.5 117 73.0 low 9 j 1.67
03 stair_76.5_high_3 high 76.5 82 73.5 high 9 j 1.75
03 stair_74.0_high_2 high 74.0 70 67.5 high 9 space 2.38
03 stair_74.0_high_1 high 74.0 70 66.0 high 9 space 1.62
03 stair_76.5_high_4 high 76.5 82 68.0 high 9 space 5.13
03 stair_81.5_high_3 high 81.5 117 75.5 low 9 j 2.38
03 stair_79.0_high_4 high 79.0 98 60 high 9 f 1.75
03 stair_79.0_high_3 high 79.0 98 66.5 low 9 space 1.47
03 stair_84.0_high_3 high 84.0 149 75.5 low 9 space 1.66
03 stair_84.0_high_2 high 84.0 149 71 low 9 f 1.66
03 stair_81.5_high_2 high 81.5 117 69.5 low 9 space 2.38
03 stair_74.0_high_4 high 74.0 70 66 low 9 space 2.38
03 stair_81.5_high_4 high 81.5 117 70.5 low 9 space 2.38
03 stair_76.5_high_1 high 76.5 82 71 high 9 j 1.69
03 stair_79.0_high_2 high 79.0 98 66.5 low 9 space 2.38
03 stair_76.5_high_1 high 76.5 82 69.5 high 10 space 2.38
03 stair_76.5_high_4 high 76.5 82 66.5 high 10 space 1.71
03 stair_81.5_high_3 high 81.5 117 74.0 low 10 j 1.68
03 stair_79.0_high_2 high 79.0 98 65.0 low 10 f 2.38
03 stair_81.5_high_2 high 81.5 117 68.0 low 10 f 1.7
03 stair_81.5_high_4 high 81.5 117 69.0 low 10 f 2.38
03 stair_84.0_high_1 high 84.0 149 72 low 10 space 1.72
03 stair_81.5_high_1 high 81.5 117 71.5 low 10 space 2.38
03 stair_84.0_high_3 high 84.0 149 77.0 low 10 space 2.38
03 stair_74.0_high_4 high 74.0 70 69 low 10 j 2.38
03 stair_84.0_high_2 high 84.0 149 72.5 low 10 space 1.67
03 stair_79.0_high_1 high 79.0 98 69.5 high 10 space 2.38
03 stair_74.0_high_2 high 74.0 70 66.0 high 10 space 5.32
03 stair_76.5_high_2 high 76.5 82 57.5 low 10 f 1.45
03 stair_79.0_high_3 high 79.0 98 68.0 low 10 space 6.41
03 stair_76.5_high_3 high 76.5 82 72.0 high 10 j 1.53
03 stair_74.0_high_3 high 74.0 70 68.0 high 10 j 5.45
03 stair_74.0_high_1 high 74.0 70 64.5 high 10 space 1.6
03 stair_84.0_high_4 high 84.0 149 71 low 10 f 1.46
03 stair_79.0_high_4 high 79.0 98 61.5 high 10 f 2.38
03 stair_76.5_high_4 high 76.5 82 65.0 high 11 space 1.59
03 stair_81.5_high_4 high 81.5 117 70.5 low 11 space 1.75
03 stair_84.0_high_4 high 84.0 149 72.5 low 11 space 1.64
03 stair_74.0_high_4 high 74.0 70 67.5 low 11 j 2.38
03 stair_74.0_high_1 high 74.0 70 63.0 high 11 space 1.61
03 stair_84.0_high_2 high 84.0 149 74.0 low 11 space 2.38
03 stair_79.0_high_2 high 79.0 98 66.5 low 11 space 1.58
03 stair_79.0_high_1 high 79.0 98 68.0 high 11 space 2.38
03 stair_76.5_high_2 high 76.5 82 59.0 low 11 space 1.69
03 stair_74.0_high_2 high 74.0 70 64.5 high 11 j 2.38
03 stair_79.0_high_3 high 79.0 98 69.5 low 11 f 1.77
03 stair_74.0_high_3 high 74.0 70 66.5 high 11 space 1.49
03 stair_84.0_high_1 high 84.0 149 69 low 11 f 1.54
03 stair_81.5_high_1 high 81.5 117 70.0 low 11 j 2.38
03 stair_76.5_high_3 high 76.5 82 70.5 high 11 j 1.75
03 stair_81.5_high_2 high 81.5 117 69.5 low 11 space 1.61
03 stair_81.5_high_3 high 81.5 117 72.5 low 11 space 1.7
03 stair_79.0_high_4 high 79.0 98 63.0 high 11 f 1.54
